//////////////////////////////////////////////////////////////////////////////////////												
// 파일명: 												
//	[ Start  ] 	2013. 09. 25										
//	[ Latest ]											
//	[ Author ]											
//	[ Version ]											
//	[ Text ]											
//	[ Desc ]	기존 아이템백 구조상에서 확장 컬럼 추가										
//////////////////////////////////////////////////////////////////////////////////////												
//												
// 												
// 드랍 젠 계산 방식 = 지정 젠 * MinLevel * MaxLevel 의 수치 만큼 젠 드랍 결정 [MinLevel <= MaxLevel] 항상 만족하도록 기술할 것!												
// 세트 아이템, 소켓 아이템 Slot 구조 추가												
// 												
// SetType: 반드시 ItemSettype 스크립트의 Link와 일치하도록 기술. Link a = 1, link b = 2, link c = 3, link d = 4												
//////////////////////////////////////////////////////////////////////////////////////												
//												
// *** 												
// *** SetType의 경우 국내와 중국 동일, 글로벌 및  기타 해외 국가 반드시 개별 확인 필요!!! (2013.12. 02 기준) 												
// ***												
//												
//////////////////////////////////////////////////////////////////////////////////////												
												
// SetOption:	0 = 랜덤, 1 = +5 옵션을 생성, 2 = +10 옵션을 생성											
												
// --SocketSlotCount												
//드롭가능맵 설정												
0												
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel								
	8	15	0	0	0	0	1	3	0	0	0	//아틀란스갑옷
	9	15	0	0	0	0	1	3	0	0	0	//아틀란스바지
	10	15	0	0	0	0	1	3	0	0	0	//아틀란스장갑
	11	15	0	0	0	0	1	3	0	0	0	//아틀란스부츠
	7	16	0	0	0	0	1	3	0	0	0	//블랙드라곤투구
	8	16	0	0	0	0	1	3	0	0	0	//블랙드라곤갑옷
	9	16	0	0	0	0	1	3	0	0	0	//블랙드라곤바지
	10	16	0	0	0	0	1	3	0	0	0	//블랙드라곤장갑
	11	16	0	0	0	0	1	3	0	0	0	//블랙드라곤부츠
	7	17	0	0	0	0	1	3	0	0	0	//다크피닉스투구
	8	17	0	0	0	0	1	3	0	0	0	//다크피닉스갑옷
	9	17	0	0	0	0	1	3	0	0	0	//다크피닉스바지
	10	17	0	0	0	0	1	3	0	0	0	//다크피닉스장갑
	11	17	0	0	0	0	1	3	0	0	0	//다크피닉스부츠
	7	18	0	0	0	0	1	3	0	0	0	//그랜드소울헬멧
	8	18	0	0	0	0	1	3	0	0	0	//그랜드소울갑옷
	9	18	0	0	0	0	1	3	0	0	0	//그랜드소울바지
	10	18	0	0	0	0	1	3	0	0	0	//그랜드소울장갑
	11	18	0	0	0	0	1	3	0	0	0	//그랜드소울부츠
	7	36	0	0	0	0	1	3	0	0	0	//아이리스헬멧
	8	36	0	0	0	0	1	3	0	0	0	//아이리스갑옷
	9	36	0	0	0	0	1	3	0	0	0	//아이리스바지
	10	36	0	0	0	0	1	3	0	0	0	//아이리스장갑
	11	36	0	0	0	0	1	3	0	0	0	//아이리스부츠
	7	41	0	0	0	0	1	3	0	0	0	//에이션트헬멧
	8	41	0	0	0	0	1	3	0	0	0	//에이션트갑옷
	9	41	0	0	0	0	1	3	0	0	0	//에이션트바지
	10	41	0	0	0	0	1	3	0	0	0	//에이션트장갑
	11	41	0	0	0	0	1	3	0	0	0	//에이션트부츠
	7	10	0	0	0	0	1	3	0	0	0	//넝쿨헬멧
	8	10	0	0	0	0	1	3	0	0	0	//넝쿨갑옷
	9	10	0	0	0	0	1	3	0	0	0	//넝쿨바지
	10	10	0	0	0	0	1	3	0	0	0	//넝쿨장갑
	11	10	0	0	0	0	1	3	0	0	0	//넝쿨부츠
	7	59	0	0	0	0	1	3	0	0	0	//세크리드파이어투구
	8	59	0	0	0	0	1	3	0	0	0	//세크리드파이어갑옷
	9	59	0	0	0	0	1	3	0	0	0	//세크리드파이어바지
	11	93	0	0	0	0	1	3	0	0	0	//세크리드파이어부츠
	7	93	0	0	0	0	1	3	0	0	0	//세크리드파이어투구
	8	93	0	0	0	0	1	3	0	0	0	//세크리드파이어갑옷
	9	93	0	0	0	0	1	3	0	0	0	//세크리드파이어바지
	11	93	0	0	0	0	1	3	0	0	0	//세크리드파이어부츠
end												
40000	//1차 날개무기 재료											
	2	6	0	4	0	0	1	0	0	0	0	//카오스드라곤도끼
	4	6	0	4	0	0	1	0	0	0	0	//카오스네이쳐보우
	5	7	0	4	0	0	1	0	0	0	0	//카오스번개지팡이
end		
end
