//############################################
// POWERED BY MU ENGINE                     //
// WWW.MUENGINE.ORG                      	//
// Edited By: ScriptKid                    	//
//###########################################

//旨收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旬
//早 Box Of Kundun +4 Drop Settings                                               早
//曲收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旭					
1
//	EventName	                  DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate											
	"Box Of Kundun +4"	0	0	                  0	0	0	                  100	                                                      500											
end
// | Type | Index | MinLevel | MaxLevel | Skill | Luck | Option | Excellent |	

10
//type	index	min-lvl	max-lvl		skill-rate	luck-rate	add	exc1-rate	exc2-rate	exc3-rate	arka-only
10000		

7	17	0	0	50	50	50	100	0	0	0	//Dark Phoenix Helm
7	19	0	0	50	50	50	100	0	0	0	//Divine Helm
7	25	0	0	50	50	50	100	0	0	0	//Light Plate Helm
7	26	0	0	50	50	50	100	0	0	0	//Adamantine Helm
7	27	0	0	50	50	50	100	0	0	0	//Dark Steel Helm
7	28	0	0	50	50	50	100	0	0	0	//Dark Master Helm
7	39	0	0	50	50	50	100	0	0	0	//Violent Wind Helm
7	40	0	0	50	50	50	100	0	0	0	//Red Wing Helm
7	41	0	0	50	50	50	100	0	0	0	//Ancient Helm
8	1	0	0	50	50	50	100	0	0	0	//Dragon Armor
8	3	0	0	50	50	50	100	0	0	0	//Legendary Armor
8	14	0	0	50	50	50	100	0	0	0	//Guardian Armor
8	15	0	0	50	50	50	100	0	0	0	//Storm Crow Armor
8	16	0	0	50	50	50	100	0	0	0	//Black Dragon Armor
8	17	0	0	50	50	50	100	0	0	0	//Dark Phoenix Armor
8	18	0	0	50	50	50	100	0	0	0	//Grand Soul Armor
8	19	0	0	50	50	50	100	0	0	0	//Divine Armor
8	25	0	0	50	50	50	100	0	0	0	//Light Plate Armor
8	26	0	0	50	50	50	100	0	0	0	//Adamantine Armor
8	27	0	0	50	50	50	100	0	0	0	//Dark Steel Armor
8	28	0	0	50	50	50	100	0	0	0	//Dark Master Armor
8	39	0	0	50	50	50	100	0	0	0	//Violent Wind Armor
8	40	0	0	50	50	50	100	0	0	0	//Red Wing Armor
8	41	0	0	50	50	50	100	0	0	0	//Ancient Armor
9	1	0	0	50	50	50	100	0	0	0	//Dragon Pants
9	3	0	0	50	50	50	100	0	0	0	//Legendary Pants
9	14	0	0	50	50	50	100	0	0	0	//Guardian Pants
9	15	0	0	50	50	50	100	0	0	0	//Storm Crow Pants
9	16	0	0	50	50	50	100	0	0	0	//Black Dragon Pants
9	17	0	0	50	50	50	100	0	0	0	//Dark Phoenix Pants
9	18	0	0	50	50	50	100	0	0	0	//Grand Soul Pants
9	19	0	0	50	50	50	100	0	0	0	//Divine Pants
9	25	0	0	50	50	50	100	0	0	0	//Light Plate Pants
9	26	0	0	50	50	50	100	0	0	0	//Adamantine Pants
9	27	0	0	50	50	50	100	0	0	0	//Dark Steel Pants
9	28	0	0	50	50	50	100	0	0	0	//Dark Master Pants
9	39	0	0	50	50	50	100	0	0	0	//Violent Wind Pants
9	40	0	0	50	50	50	100	0	0	0	//Red Wing Pants
9	41	0	0	50	50	50	100	0	0	0	//Ancient Pants
10	1	0	0	50	50	50	100	0	0	0	//Dragon Gloves
10	3	0	0	50	50	50	100	0	0	0	//Legendary Gloves
10	14	0	0	50	50	50	100	0	0	0	//Guardian Gloves
10	15	0	0	50	50	50	100	0	0	0	//Storm Crow Gloves
10	16	0	0	50	50	50	100	0	0	0	//Black Dragon Gloves
10	17	0	0	50	50	50	100	0	0	0	//Dark Phoenix Gloves
10	18	0	0	50	50	50	100	0	0	0	//Grand Soul Gloves
10	19	0	0	50	50	50	100	0	0	0	//Divine Gloves
10	25	0	0	50	50	50	100	0	0	0	//Light Plate Gloves
10	26	0	0	50	50	50	100	0	0	0	//Adamantine Gloves
10	27	0	0	50	50	50	100	0	0	0	//Dark Steel Gloves
10	28	0	0	50	50	50	100	0	0	0	//Dark Master Gloves
10	39	0	0	50	50	50	100	0	0	0	//Violent Wind Gloves
10	40	0	0	50	50	50	100	0	0	0	//Red Wing Gloves
10	41	0	0	50	50	50	100	0	0	0	//Ancient Gloves
11	1	0	0	50	50	50	100	0	0	0	//Dragon Boots
11	3	0	0	50	50	50	100	0	0	0	//Legendary Boots
11	14	0	0	50	50	50	100	0	0	0	//Guardian Boots
11	15	0	0	50	50	50	100	0	0	0	//Storm Crow Boots
11	16	0	0	50	50	50	100	0	0	0	//Black Dragon Boots
11	17	0	0	50	50	50	100	0	0	0	//Dark Phoenix Boots
11	18	0	0	50	50	50	100	0	0	0	//Grand Soul Boots
11	19	0	0	50	50	50	100	0	0	0	//Divine Boots	
11	25	0	0	50	50	50	100	0	0	0	//Light Plate Boots
11	26	0	0	50	50	50	100	0	0	0	//Adamantine Boots
11	27	0	0	50	50	50	100	0	0	0	//Dark Steel Boots
11	28	0	0	50	50	50	100	0	0	0	//Dark Master Boots
11	39	0	0	50	50	50	100	0	0	0	//Violent Wind Boots
11	40	0	0	50	50	50	100	0	0	0	//Red Wing Boots
11	41	0	0	50	50	50	100	0	0	0	//Ancient Boots
end
end
