//////////////////////////////////////////////////////////////////////////////////////																													
//	[ Latest ]		42416 																										
//	[ Author ]		사재일																										
//	[ Version ]		0.0.1.1																										
//	[ Text ]		옵션 생성확률 기재																										
//////////////////////////////////////////////////////////////////////////////////////																													
0 																													
// 시드 옵션					스피어 레벨별 증가수치																								
// 고유번호	속성	레벨	이름	수치타입	1레벨	2레벨	3레벨	4레벨	5레벨	6레벨	7레벨	8레벨	9레벨	10레벨	11레벨	12레벨	13레벨	14레벨	15레벨	16레벨	17레벨	18레벨	19레벨	20레벨	추출가중치		옵션 생성 확률	서버전용필드	
20 	3 	4 	"아이템내구력강화"	2 	30 	32 	34 	36 	40 	44 	49 	54 	60 	66 	73 	80 	88 	96 	105 	114 	124 	134 	145 	165 	28 	//	5.21%		
// 4. 바람(Wind) 방어구강화 (21~28, 45)																													
21 	4 	0 	"생명자동회복증가"	1 	8 	10 	13 	16 	21 	26 	31 	38 	45 	52 	61 	70 	79 	88 	97 	110 	123 	136 	149 	162 	16 	//	2.98%		
22 	4 	1 	"최대생명증가"	1 	100 	115 	130 	145 	165 	185 	205 	235 	265 	295 	335 	375 	415 	455 	495 	545 	595 	645 	695 	745 	5 	//	0.93%		
23 	4 	2 	"최대마나증가"	1 	150 	165 	180 	195 	215 	235 	255 	285 	315 	345 	385 	425 	465 	505 	545 	595 	645 	695 	745 	795 	21 	//	3.91%		
24 	4 	3 	"마나자동회복증가"	1 	7 	14 	21 	28 	37 	46 	55 	66 	77 	88 	101 	114 	127 	140 	153 	171 	189 	207 	225 	243 	19 	//	3.54%		
25 	4 	4 	"최대AG증가"	1 	70 	82 	95 	110 	126 	143 	162 	182 	203 	226 	250 	275 	302 	330 	359 	390 	422 	455 	490 	526 	16 	//	2.98%		
26 	4 	5 	"AG회복량증가"	1 	5 	7 	9 	11 	13 	15 	17 	19 	21 	23 	25 	27 	29 	31 	33 	35 	37 	39 	41 	43 	10 	//	1.86%		
//27	4 	6 	"신규옵션(바람) 27"																										
//28	4 	7 	"신규옵션(바람) 28"																										
// 5. 번개(Lightning) 전투강화 (29~33, 46~48)																													
29 	5 	0 	"엑설런트데미지증가"	1 	15 	20 	25 	30 	36 	43 	51 	60 	70 	81 	94 	109 	126 	145 	166 	189 	215 	244 	276 	311 	28 	//	5.21%		
30 	5 	1 	"엑설런트데미지확률증가"	2 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	5 	//	0.93%		
31 	5 	2 	"크리티컬데미지증가"	1 	30 	32 	35 	40 	47 	56 	66 	77 	89 	102 	117 	134 	153 	174 	197 	223 	252 	284 	319 	357 	28 	//	5.21%		
32 	5 	3 	"크리티컬데미지확률증가"	2 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	27 	//	5.03%		
//33	5 	4 	"신규옵션(번개) 33"																										
// 6. 땅(Earth) 스탯강화 (34~40, 49)																													
34 	6 	0 	"힘증가"	1 	6 	8 	9 	10 	11 	13 	15 	18 	20 	24 	27 	31 	35 	40 	44 	50 	55 	61 	67 	75 	27 	//	5.03%		
35 	6 	1 	"민첩증가"	1 	1 	2 	3 	4 	5 	7 	9 	12 	15 	18 	21 	25 	29 	34 	39 	44 	49 	55 	61 	68 	3 	//	0.56%		
36 	6 	2 	"체력증가"	1 	30 	32 	34 	36 	38 	41 	44 	48 	52 	57 	62 	68 	74 	81 	88 	96 	104 	113 	122 	132 	4 	//	0.74%		
37 	6 	3 	"에너지증가"	1 	10 	12 	13 	15 	17 	20 	23 	27 	31 	36 	41 	47 	53 	60 	67 	75 	83 	92 	101 	110 	57 	//	10.61%		
//38	6 	4 	"필요힘감소"	1 																					0 	//	0.00%		
//39	6 	5 	"필요민첩감소"	1 																					0 	//	0.00%		
//40	6 	6 	"신규옵션(땅) 40"																										
// 7. 기타 																													
//46	사용 불가 인덱스																												
end																													
1 																													
// 보너스 조합 옵션 (0~49)				시드스피어 소켓 순서별 속성(1~6)																									
// 고유번호	아이템타입		이름	수치타입	증가수치	조합확률	소켓1	소켓2	소켓3	소켓4	소켓5																		
0 	0 	4 	"공격력 상승"	1 	11 	30 	1 	5 	3 	0 	0 	// 1 ~ 20차 시드스피어로 구성되어있을 때 30%의 확률로 일반보너스옵션이 붙을 수 있다.																	
1 	0 	4 	"스킬 공격력 상승"	1 	11 	100 	5 	3 	1 	0 	0 	// 1 ~ 20차 시드스피어로 구성되어있을 때 30%의 확률로 일반보너스옵션이 붙을 수 있다.																	
2 	5 	5 	"공격력/마력 상승"	1 	5 	30 	1 	5 	3 	0 	0 	// 1 ~ 20차 시드스피어로 구성되어있을 때 30%의 확률로 일반보너스옵션이 붙을 수 있다.																	
3 	5 	5 	"스킬 공격력 상승"	1 	11 	30 	5 	3 	1 	0 	0 	// 1 ~ 20차 시드스피어로 구성되어있을 때 30%의 확률로 일반보너스옵션이 붙을 수 있다.																	
4 	6 	12 	"방어력 상승"	1 	24 	30 	2 	6 	4 	0 	0 	// 1 ~ 20차 시드스피어로 구성되어있을 때 30%의 확률로 일반보너스옵션이 붙을 수 있다.																	
5 	6 	12 	"최대 생명 증가"	1 	29 	30 	6 	4 	2 	0 	0 	// 1 ~ 20차 시드스피어로 구성되어있을 때 30%의 확률로 일반보너스옵션이 붙을 수 있다.																	
6 	0 	4 	"공격력 상승"	1 	22 	10 	1 	5 	3 	0 	0 	// 4차 ~ 7차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션1'이 붙을 수 있다.																	
7 	0 	4 	"스킬 공격력 상승"	1 	22 	10 	5 	3 	1 	0 	0 	// 4차 ~ 7차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션1'이 붙을 수 있다.																	
8 	5 	5 	"공격력/마력 상승"	1 	10 	10 	1 	5 	3 	0 	0 	// 4차 ~ 7차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션1'이 붙을 수 있다.																	
9 	5 	5 	"스킬 공격력 상승"	1 	22 	10 	5 	3 	1 	0 	0 	// 4차 ~ 7차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션1'이 붙을 수 있다.																	
10 	6 	12 	"방어력 상승"	1 	27 	10 	2 	6 	4 	0 	0 	// 4차 ~ 7차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션1'이 붙을 수 있다.																	
11 	6 	12 	"최대 생명 증가"	1 	31 	10 	6 	4 	2 	0 	0 	// 4차 ~ 7차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션1'이 붙을 수 있다.																	
12 	0 	4 	"공격력 상승"	1 	33 	10 	1 	5 	3 	0 	0 	// 8차 ~ 10차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션2'이 붙을 수 있다.																	
13 	0 	4 	"스킬 공격력 상승"	1 	33 	10 	5 	3 	1 	0 	0 	// 8차 ~ 10차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션2'이 붙을 수 있다.																	
14 	5 	5 	"공격력/마력 상승"	1 	15 	10 	1 	5 	3 	0 	0 	// 8차 ~ 10차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션2'이 붙을 수 있다.																	
15 	5 	5 	"스킬 공격력 상승"	1 	33 	10 	5 	3 	1 	0 	0 	// 8차 ~ 10차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션2'이 붙을 수 있다.																	
16 	6 	12 	"방어력 상승"	1 	30 	10 	2 	6 	4 	0 	0 	// 8차 ~ 10차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션2'이 붙을 수 있다.																	
17 	6 	12 	"최대 생명 증가"	1 	33 	10 	6 	4 	2 	0 	0 	// 8차 ~ 10차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션2'이 붙을 수 있다.																	
18 	0 	4 	"공격력 상승"	1 	44 	10 	1 	5 	3 	0 	0 	// 11차 ~ 15차 시드스피어로 구성되어있을 때 11%의 확률로 '희귀보너스옵션3'이 붙을 수 있다.																	
19 	0 	4 	"스킬 공격력 상승"	1 	44 	10 	5 	3 	1 	0 	0 	// 11차 ~ 15차 시드스피어로 구성되어있을 때 11%의 확률로 '희귀보너스옵션3'이 붙을 수 있다.																	
20 	5 	5 	"공격력/마력 상승"	1 	20 	10 	1 	5 	3 	0 	0 	// 11차 ~ 15차 시드스피어로 구성되어있을 때 11%의 확률로 '희귀보너스옵션3'이 붙을 수 있다.																	
21 	5 	5 	"스킬 공격력 상승"	1 	44 	10 	5 	3 	1 	0 	0 	// 11차 ~ 15차 시드스피어로 구성되어있을 때 11%의 확률로 '희귀보너스옵션3'이 붙을 수 있다.																	
22 	6 	12 	"방어력 상승"	1 	33 	10 	2 	6 	4 	0 	0 	// 11차 ~ 15차 시드스피어로 구성되어있을 때 11%의 확률로 '희귀보너스옵션3'이 붙을 수 있다.																	
23 	6 	12 	"최대 생명 증가"	1 	35 	10 	6 	4 	2 	0 	0 	// 11차 ~ 15차 시드스피어로 구성되어있을 때 11%의 확률로 '희귀보너스옵션3'이 붙을 수 있다.																	
24 	0 	4 	"공격력 상승"	1 	55 	10 	1 	5 	3 	0 	0 	// 16차 ~ 20차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션4'이 붙을 수 있다.																	
25 	0 	4 	"스킬 공격력 상승"	1 	55 	10 	5 	3 	1 	0 	0 	// 16차 ~ 20차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션4'이 붙을 수 있다.																	
26 	5 	5 	"공격력/마력 상승"	1 	25 	10 	1 	5 	3 	0 	0 	// 16차 ~ 20차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션4'이 붙을 수 있다.																	
27 	5 	5 	"스킬 공격력 상승"	1 	55 	10 	5 	3 	1 	0 	0 	// 16차 ~ 20차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션4'이 붙을 수 있다.																	
28 	6 	12 	"방어력 상승"	1 	36 	10 	2 	6 	4 	0 	0 	// 16차 ~ 20차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션4'이 붙을 수 있다.																	
29 	6 	12 	"최대 생명 증가"	1 	37 	10 	6 	4 	2 	0 	0 	// 16차 ~ 20차 시드스피어로 구성되어있을 때 10%의 확률로 '희귀보너스옵션4'이 붙을 수 있다.																	
end																													
2 																													
// 세트 옵션 (0~49)							인벤전체 시드스피어 개수																						
// 고유번호	종류		이름	수치타입	증가수치	조합확률	1(불)	2(물)	3(얼음)	4(바람)	5(번개)	6(땅)																	
0 	0 		"더블 데미지 확률 증가"	2 	3 	100 	1 	1 	1 	1 	1 	1 																	
1 	0 		"적 방어력 무시 공격"	2 	1 	100 	1 	3 	1 	3 	1 	2 																	
end																													
