//////////////////////////////////////////////////////////////////////////////////////																			
// MixMasteryItem																			
// [ 파일 생성 ]	2016-08-16																		
// [ 수정 일자 ]	2016-08-16 04:22 PM																		
// [ 수  정  자 ]	사재일																		
// [ 버       전 ]	0.0.0.1																		
// [ 수정 내용 ]	최초등록																		
// [ 참       조 ]	서버전용 스크립트																		
//////////////////////////////////////////////////////////////////////////////////////																			
// Season12 P.1업데이트 이후의 마스터리 아이템 조합에 사용가능한 스크립트 입니다. (아래 조합설정 이후로 적용)																			
// 조합 아이템 추가 등록 시 아래 기재																			
// 1차 마스터리 무기 - 블러드엔젤무기 아이템 조합 -> 다크엔젤무기 아이템 업그레이드																			
// 2차 마스터리 방어구 - 다크엔젤방어구 아이템 조합 -> 홀리엔젤방어구 아이템으로 업그레이드																			
// 신규 조건 추가 : 0번 테이블 - OPTION (명령어 : /만들기 0 42 0 0 0 0 4)  - 빨간색 텍스트가 추가옵션값 들어가는 위치 입니다. 들어갈 수 있는 값은 1, 2, 3 4 값 입니다.)																			
// 신규 조건 추가 : 1번 테이블 - Rate : 조합확률을 설정합니다. (1/100) 설정으로 100 값을 등록하면 100% 입니다.																			
// 신규 조건 추가 : 1번 테이블 - ZEN : 조합 시 필요한 젠을 설정합니다. 조합에 필요한 최대 젠은 1억젠 입니다.																			
// 신규 조건 추가 : 조합재료로 사용될 아이템의 속성을 설정합니다. ( 0 : 기타 아이템 / 1 : 엑설런트아이템 / 2 : 세트아이템)																			
// 0번 테이블 - 조합재료아이템 리스트 등록 및 인덱스 부여																			
// 아이템에 조합 인덱스 부여하고 해당 인덱스를 이용하여 1번 테이블의 조합설정을 작성할 수 있습니다 : 100개의 인덱스를 부여할 수 있으며 확장 가능																			
//index	type	index	MinLevel	MaxLevel		Dur (내구개수)	Item Name												
0																			
// 기본 보석재료																			
//index	type	index	MinLvl	MaxLvl	Opt	Dur	iCat	Item Name											
26	14	42	0	0	0	30	0	"조화의보석묶음"	// 30개 묶음										
27	12	15	0	0	0	30	0	"혼돈의보석묶음"	// 30개 묶음										
// 2차 마스터리 무기 업그레이드 조합재료																			
//index	type	index	MinLevel	MaxLevel	option(생석)	Dur (내구개수)	Itemcategory	Item Name											
28	0	42	11	15	4	0	1	"블러드엔젤소드"	// 1차 마스터리 무기 아이템 (2차 무기 업그레이드 주재료 아이템)										
29	0	44	11	15	4	0	1	"블러드엔젤매직소드"	// 1차 마스터리 무기 아이템 (2차 무기 업그레이드 주재료 아이템)										
30	0	46	11	15	4	0	1	"블러드엔젤클로"	// 1차 마스터리 무기 아이템 (2차 무기 업그레이드 주재료 아이템)										
31	2	22	11	15	4	0	1	"블러드엔젤셉터"	// 1차 마스터리 무기 아이템 (2차 무기 업그레이드 주재료 아이템)										
32	3	19	11	15	4	0	1	"블러드엔젤랜스"	// 1차 마스터리 무기 아이템 (2차 무기 업그레이드 주재료 아이템)										
33	4	28	11	15	4	0	1	"블러드엔젤보우"	// 1차 마스터리 무기 아이템 (2차 무기 업그레이드 주재료 아이템)										
34	5	41	11	15	4	0	1	"블러드엔젤스태프"	// 1차 마스터리 무기 아이템 (2차 무기 업그레이드 주재료 아이템)										
35	5	43	11	15	4	0	1	"블러드엔젤스틱"	// 1차 마스터리 무기 아이템 (2차 무기 업그레이드 주재료 아이템)										
36	14	386	0	0	0	0	0	"다크엔젤의모루"	// 2차 마스터리 무기 업그레이드 조합재료 아이템										
// 3차 마스터리 방어구 업그레이드 조합재료																			
//index	type	index	MinLevel	MaxLevel	option(생석)	Dur (내구개수)	Itemcategory	Item Name											
37	7	138	11	15	4	0	2	"다크엔젤나이트투구"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
38	7	139	11	15	4	0	2	"다크엔젤위자드투구"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
39	7	140	11	15	4	0	2	"다크엔젤엘프투구"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
40	7	141	11	15	4	0	2	"다크엔젤서머너투구"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
41	7	143	11	15	4	0	2	"다크엔젤로드투구"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
42	7	144	11	15	4	0	2	"다크엔젤파이터투구"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
43	7	145	11	15	4	0	2	"다크엔젤랜서투구"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
44	8	138	11	15	4	0	2	"다크엔젤나이트갑옷"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
45	8	139	11	15	4	0	2	"다크엔젤위자드갑옷"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
46	8	140	11	15	4	0	2	"다크엔젤엘프갑옷"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
47	8	141	11	15	4	0	2	"다크엔젤서머너갑옷"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
48	8	142	11	15	4	0	2	"다크엔젤매직갑옷"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
49	8	143	11	15	4	0	2	"다크엔젤로드갑옷"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
50	8	144	11	15	4	0	2	"다크엔젤파이터갑옷"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
51	8	145	11	15	4	0	2	"다크엔젤랜서갑옷"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
52	9	138	11	15	4	0	2	"다크엔젤나이트바지"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
53	9	139	11	15	4	0	2	"다크엔젤위자드바지"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
54	9	140	11	15	4	0	2	"다크엔젤엘프바지"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
55	9	141	11	15	4	0	2	"다크엔젤서머너바지"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
56	9	142	11	15	4	0	2	"다크엔젤매직바지"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
57	9	143	11	15	4	0	2	"다크엔젤로드바지"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
58	9	144	11	15	4	0	2	"다크엔젤파이터바지"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
59	9	145	11	15	4	0	2	"다크엔젤랜서바지"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
60	10	139	11	15	4	0	2	"다크엔젤위자드장갑"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
61	10	140	11	15	4	0	2	"다크엔젤엘프장갑"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
62	10	141	11	15	4	0	2	"다크엔젤서머너장갑"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
63	10	142	11	15	4	0	2	"다크엔젤매직장갑"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
64	10	143	11	15	4	0	2	"다크엔젤로드장갑"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
65	10	145	11	15	4	0	2	"다크엔젤랜서장갑"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
66	11	138	11	15	4	0	2	"다크엔젤나이트부츠"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
67	11	142	11	15	4	0	2	"다크엔젤매직부츠"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
68	11	144	11	15	4	0	2	"다크엔젤파이터부츠"	// 2차 마스터리 방어구 아이템 (3차 방어구 업그레이드 주재료 아이템)										
69	14	389	0	0	0	0	0	"홀리엔젤의혼"	// 3차 마스터리 방어구 업그레이드 조합재료 아이템										
// (영웅)블러드앤젤의혼 조합재료 등록																			
//index	type	index	MinLevel	MaxLevel	option(생석)	Dur (내구개수)	Itemcategory	Item Name											
70	14	399	0	0	0	0	0	"(영웅)블러드엔젤의혼"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템 										
71	13	352	0	0	0	0	0	"봉인된 분노의 블러드엔젤 투구"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템 										
72	13	360	0	0	0	0	0	"봉인된 초월의 블러드엔젤 투구"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
73	13	364	0	0	0	0	0	"봉인된 질풍의 블러드엔젤 투구"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
74	13	388	0	0	0	0	0	"봉인된 명예의 블러드엔젤 투구"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
75	13	380	0	0	0	0	0	"봉인된 정복의 블러드엔젤 투구"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
76	13	392	0	0	0	0	0	"봉인된 파괴의 블러드엔젤 투구"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
77	13	400	0	0	0	0	0	"봉인된 집념의 블러드엔젤 투구"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
78	13	351	0	0	0	0	0	"봉인된 분노의 블러드엔젤 갑옷"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
79	13	359	0	0	0	0	0	"봉인된 초월의 블러드엔젤 갑옷"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
80	13	363	0	0	0	0	0	"봉인된 질풍의 블러드엔젤 갑옷"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
81	13	387	0	0	0	0	0	"봉인된 명예의 블러드엔젤 갑옷"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
82	13	371	0	0	0	0	0	"봉인된 궁극의 블러드엔젤 갑옷"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
83	13	379	0	0	0	0	0	"봉인된 정복의 블러드엔젤 갑옷"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
84	13	391	0	0	0	0	0	"봉인된 파괴의 블러드엔젤 갑옷"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
85	13	399	0	0	0	0	0	"봉인된 집념의 블러드엔젤 갑옷"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
86	13	353	0	0	0	0	0	"봉인된 분노의 블러드엔젤 바지"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
87	13	361	0	0	0	0	0	"봉인된 초월의 블러드엔젤 바지"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
88	13	365	0	0	0	0	0	"봉인된 질풍의 블러드엔젤 바지"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
89	13	389	0	0	0	0	0	"봉인된 명예의 블러드엔젤 바지"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
90	13	373	0	0	0	0	0	"봉인된 궁극의 블러드엔젤 바지"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
91	13	381	0	0	0	0	0	"봉인된 정복의 블러드엔젤 바지"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
92	13	393	0	0	0	0	0	"봉인된 파괴의 블러드엔젤 바지"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
93	13	401	0	0	0	0	0	"봉인된 집념의 블러드엔젤 바지"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
94	13	362	0	0	0	0	0	"봉인된 초월의 블러드엔젤 장갑"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
95	13	366	0	0	0	0	0	"봉인된 질풍의 블러드엔젤 장갑"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
96	13	390	0	0	0	0	0	"봉인된 명예의 블러드엔젤 장갑"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
97	13	374	0	0	0	0	0	"봉인된 궁극의 블러드엔젤 장갑"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
98	13	382	0	0	0	0	0	"봉인된 정복의 블러드엔젤 장갑"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
99	13	402	0	0	0	0	0	"봉인된 집념의 블러드엔젤 장갑"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
100	13	354	0	0	0	0	0	"봉인된 분노의 블러드엔젤 부츠"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
101	13	372	0	0	0	0	0	"봉인된 궁극의 블러드엔젤 부츠"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
102	13	394	0	0	0	0	0	"봉인된 파괴의 블러드엔젤 부츠"	// 이벤트 : +11레벨 블러드엔젤 세트 아이템										
// 듀얼클래스 마스터리 방어구 세트 업그레이드 조합 추가																			
//index	type	index	MinLevel	MaxLevel	option(생석)	Dur (내구개수)	Itemcategory	Item Name											
103	13	367	0	0	0	0	0	"봉인된 엔요의 블러드엔젤 갑옷"											
104	13	368	0	0	0	0	0	"봉인된 엔요의 블러드엔젤 투구"											
105	13	369	0	0	0	0	0	"봉인된 엔요의 블러드엔젤 바지"											
106	13	370	0	0	0	0	0	"봉인된 엔요의 블러드엔젤 장갑"											
107	13	375	0	0	0	0	0	"봉인된 법마의 블러드엔젤 갑옷"											
108	13	377	0	0	0	0	0	"봉인된 법마의 블러드엔젤 부츠"											
109	13	378	0	0	0	0	0	"봉인된 법마의 블러드엔젤 바지"											
110	13	376	0	0	0	0	0	"봉인된 법마의 블러드엔젤 장갑"											
111	8	158	11	15	4	0	2	"블러드엔젤엔요갑옷"											
112	7	158	11	15	4	0	2	"블러드엔젤엔요투구"											
113	9	158	11	15	4	0	2	"블러드엔젤엔요바지"											
114	10	158	11	15	4	0	2	"블러드엔젤엔요장갑"											
115	8	161	11	15	4	0	2	"블러드엔젤법마갑옷"											
116	9	161	11	15	4	0	2	"블러드엔젤법마바지"											
117	10	161	11	15	4	0	2	"블러드엔젤법마장갑"											
118	11	161	11	15	4	0	2	"블러드엔젤법마부츠"											
119	8	159	11	15	4	0	2	"다크엔젤엔요갑옷"											
120	7	159	11	15	4	0	2	"다크엔젤엔요투구"											
121	9	159	11	15	4	0	2	"다크엔젤엔요바지"											
122	10	159	11	15	4	0	2	"다크엔젤엔요장갑"											
123	8	162	11	15	4	0	2	"다크엔젤법마갑옷"											
124	9	162	11	15	4	0	2	"다크엔젤법마바지"											
125	10	162	11	15	4	0	2	"다크엔젤법마장갑"											
126	11	162	11	15	4	0	2	"다크엔젤법마부츠"											
127	13	407	0	0	0	0	0	"블러드엔젤의혼"											
128	14	341	0	0	0	0	0	"다크엔젤의혼"											
// 듀얼클래스 마스터리 변환조합																			
//index	type	index	MinLevel	MaxLevel	option(생석)	Dur (내구개수)	Itemcategory	Item Name											
129	8	100	0	15	0	0	2	"블러드엔젤엘프갑옷"											
130	7	100	0	15	0	0	2	"블러드엔젤엘프투구"											
131	9	100	0	15	0	0	2	"블러드엔젤엘프바지"											
132	10	100	0	15	0	0	2	"블러드엔젤엘프장갑"											
133	8	140	0	15	0	0	2	"다크엔젤엘프갑옷"											
134	7	140	0	15	0	0	2	"다크엔젤엘프투구"											
135	9	140	0	15	0	0	2	"다크엔젤엘프바지"											
136	10	140	0	15	0	0	2	"다크엔젤엘프장갑"											
137	8	152	0	15	0	0	2	"홀리엔젤엘프갑옷"											
138	7	152	0	15	0	0	2	"홀리엔젤엘프투구"											
139	9	152	0	15	0	0	2	"홀리엔젤엘프바지"											
140	10	152	0	15	0	0	2	"홀리엔젤엘프장갑"											
141	8	102	0	15	0	0	2	"블러드엔젤매직갑옷"											
142	9	102	0	15	0	0	2	"블러드엔젤매직바지"											
143	10	102	0	15	0	0	2	"블러드엔젤매직장갑"											
144	11	102	0	15	0	0	2	"블러드엔젤매직부츠"											
145	8	142	0	15	0	0	2	"다크엔젤매직갑옷"											
146	9	142	0	15	0	0	2	"다크엔젤매직바지"											
147	10	142	0	15	0	0	2	"다크엔젤매직장갑"											
148	11	142	0	15	0	0	2	"다크엔젤매직부츠"											
149	8	154	0	15	0	0	2	"홀리엔젤매직갑옷"											
150	9	154	0	15	0	0	2	"홀리엔젤매직바지"											
151	10	154	0	15	0	0	2	"홀리엔젤매직장갑"											
152	11	154	0	15	0	0	2	"홀리엔젤매직부츠"											
153	8	158	0	15	0	0	2	"블러드엔젤엔요갑옷"											
154	7	158	0	15	0	0	2	"블러드엔젤엔요투구"											
155	9	158	0	15	0	0	2	"블러드엔젤엔요바지"											
156	10	158	0	15	0	0	2	"블러드엔젤엔요장갑"											
157	8	159	0	15	0	0	2	"다크엔젤엔요갑옷"											
158	7	159	0	15	0	0	2	"다크엔젤엔요투구"											
159	9	159	0	15	0	0	2	"다크엔젤엔요바지"											
160	10	159	0	15	0	0	2	"다크엔젤엔요장갑"											
161	8	160	0	15	0	0	2	"홀리엔젤엔요갑옷"											
162	7	160	0	15	0	0	2	"홀리엔젤엔요투구"											
163	9	160	0	15	0	0	2	"홀리엔젤엔요바지"											
164	10	160	0	15	0	0	2	"홀리엔젤엔요장갑"											
165	8	161	0	15	0	0	2	"블러드엔젤법마갑옷"											
166	9	161	0	15	0	0	2	"블러드엔젤법마바지"											
167	10	161	0	15	0	0	2	"블러드엔젤법마장갑"											
168	11	161	0	15	0	0	2	"블러드엔젤법마부츠"											
169	8	162	0	15	0	0	2	"다크엔젤법마갑옷"											
170	9	162	0	15	0	0	2	"다크엔젤법마바지"											
171	10	162	0	15	0	0	2	"다크엔젤법마장갑"											
172	11	162	0	15	0	0	2	"다크엔젤법마부츠"											
173	8	163	0	15	0	0	2	"홀리엔젤법마갑옷"											
174	9	163	0	15	0	0	2	"홀리엔젤법마바지"											
175	10	163	0	15	0	0	2	"홀리엔젤법마장갑"											
176	11	163	0	15	0	0	2	"홀리엔젤법마부츠"											
177	14	394	0	0	0	0	0	"민요변환주문서"											
178	14	396	0	0	0	0	0	"기마변환주문서"											
179	14	395	0	0	0	0	0	"엔요변환주문서"											
180	14	397	0	0	0	0	0	"법마변환주문서"											
181	4	34	11	15	4	0	1	"블러드엔젤화살통"
//
182	13	355	0	0	0	0	0	"Bloodangel Armor of Sealed Vengeance"	
183	13	356	0	0	0	0	0	"Bloodangel Helm of Sealed Vengeance"	
184	13	357	0	0	0	0	0	"Bloodangel Pants of Sealed Vengeance"	
185	13	358	0	0	0	0	0	"Bloodangel Gloves of Sealed Vengeance"	
186	8	122	11	15	4	0	2	"Bloodangel Runist Armor"	
187	7	122	11	15	4	0	2	"Bloodangel Runist Helm"	
188	9	122	11	15	4	0	2	"Bloodangel Runist Pants"	
189	10	122	11	15	4	0	2	"Bloodangel Runist Gloves"	
190	2	32	11	15	4	0	1	"Bloodangel Runic Mace"	
191	2	33	11	15	4	0	1	"Darkangel Runic Mace"	
192	8	123	11	15	4	0	2	"Darkangel Runist Armor"	
193	7	123	11	15	4	0	2	"Darkangel Runist Helm"	
194	9	123	11	15	4	0	2	"Darkangel Runist Pants"	
195	10	123	11	15	4	0	2	"Darkangel Runist Gloves"
//
196	2	38	11	15	4	0	1	"Holyangel Runic Mace"	
//
197	14	415	0	0	0	0	0	"Awakening"	
198	8	98	11	15	4	0	2	"Bloodangel Knight Armor"	
199	7	98	11	15	4	0	2	"Bloodangel Knight Helm"	
200	9	98	11	15	4	0	2	"Bloodangel Knight Pants"	
201	11	98	11	15	4	0	2	"Bloodangel Knight Boots"	
202	8	99	11	15	4	0	2	"Bloodangel Wizard Armor"	
203	7	99	11	15	4	0	2	"Bloodangel Wizard Helm"	
204	9	99	11	15	4	0	2	"Bloodangel Wizard Pants"	
205	10	99	11	15	4	0	2	"Bloodangel Wizard Gloves"	
206	8	100	11	15	4	0	2	"Bloodangel Elf Armor (A)"	
207	7	100	11	15	4	0	2	"Bloodangel Elf Helm (A)"	
208	9	100	11	15	4	0	2	"Bloodangel Elf Pants (A)"	
209	10	100	11	15	4	0	2	"Bloodangel Elf Gloves (A)"	
210	8	102	11	15	4	0	2	"Bloodangel Magic Armor (A)"	
211	11	102	11	15	4	0	2	"Bloodangel Magic Boots (A)"	
212	9	102	11	15	4	0	2	"Bloodangel Magic Pants (A)"	
213	10	102	11	15	4	0	2	"Bloodangel Magic Gloves (A)"	
214	8	103	11	15	4	0	2	"Bloodangel Lord Armor"	
215	7	103	11	15	4	0	2	"Bloodangel Lord Helm"	
216	9	103	11	15	4	0	2	"Bloodangel Lord Pants"	
217	10	103	11	15	4	0	2	"Bloodangel Lord Gloves"	
218	8	101	11	15	4	0	2	"Bloodangel Summoner Armor"	
219	7	101	11	15	4	0	2	"Bloodangel Summoner Helm"	
220	9	101	11	15	4	0	2	"Bloodangel Summoner Pants"	
221	10	101	11	15	4	0	2	"Bloodangel Summoner Gloves"	
222	8	104	11	15	4	0	2	"Bloodangel Fighter Armor"	
223	7	104	11	15	4	0	2	"Bloodangel Fighter Helm"	
224	9	104	11	15	4	0	2	"Bloodangel Fighter Pants"	
225	11	104	11	15	4	0	2	"Bloodangel Fighter Boots"	
226	8	105	11	15	4	0	2	"Bloodangel Lancer Armor"	
227	7	105	11	15	4	0	2	"Bloodangel Lancer Helm"	
228	9	105	11	15	4	0	2	"Bloodangel Lancer Pants"	
229	10	105	11	15	4	0	2	"Bloodangel Lancer Gloves"	
// S13
230	7	150	11	15	4	0	2	"Holyangel Knight Helm"	
231	7	151	11	15	4	0	2	"Holyangel Wizard Helm"	
232	7	152	11	15	4	0	2	"Holyangel Elf Helm (A)"	
233	7	153	11	15	4	0	2	"Holyangel Summoner Helm"	
234	7	155	11	15	4	0	2	"Holyangel Lord Helm"	
235	7	156	11	15	4	0	2	"Holyangel Fighter Helm"	
236	7	157	11	15	4	0	2	"Holyangel Lancer Helm"	
237	8	150	11	15	4	0	2	"Holyangel Knight Armor"	
238	8	151	11	15	4	0	2	"Holyangel Wizard Armor"	
239	8	152	11	15	4	0	2	"Holyangel Elf Armor (A)"	
240	8	153	11	15	4	0	2	"Holyangel Summoner Armor"	
241	8	154	11	15	4	0	2	"Holyangel Magic Armor (A)"	
242	8	155	11	15	4	0	2	"Holyangel Lord Armor"	
243	8	156	11	15	4	0	2	"Holyangel Fighter Armor"	
244	8	157	11	15	4	0	2	"Holyangel Lancer Armor"	
245	9	150	11	15	4	0	2	"Holyangel Knight Pants"	
246	9	151	11	15	4	0	2	"Holyangel Wizard Pants"	
247	9	152	11	15	4	0	2	"Holyangel Elf Pants (A)"	
248	9	153	11	15	4	0	2	"Holyangel Summoner Pants"	
249	9	154	11	15	4	0	2	"Holyangel Magic Pants (A)"	
250	9	155	11	15	4	0	2	"Holyangel Lord Pants"	
251	9	156	11	15	4	0	2	"Holyangel Fighter Pants"	
252	9	157	11	15	4	0	2	"Holyangel Lancer Pants"	
253	10	151	11	15	4	0	2	"Holyangel Wizard Gloves"	
254	10	152	11	15	4	0	2	"Holyangel Elf Gloves (A)"	
255	10	153	11	15	4	0	2	"Holyangel Summoner Gloves"	
256	10	154	11	15	4	0	2	"Holyangel Magic Gloves (A)"	
257	10	155	11	15	4	0	2	"Holyangel Lord Gloves"	
258	10	157	11	15	4	0	2	"Holyangel Lancer Gloves"	
259	11	150	11	15	4	0	2	"Holyangel Knight Boots"	
260	11	154	11	15	4	0	2	"Holyangel Magic Boots (A)"	
261	11	156	11	15	4	0	2	"Holyangel Fighter Boots"	
//
262	0	54	11	15	4	0	1	"Darkangel Sword"	
263	0	55	11	15	4	0	1	"Darkangel Magic Sword"	
264	0	56	11	15	4	0	1	"Darkangel Claw"	
265	2	26	11	15	4	0	1	"Darkangel Scepter"	
266	3	24	11	15	4	0	1	"Darkangel Lance"	
267	4	31	11	15	4	0	1	"Darkangel Bow"	
268	5	51	11	15	4	0	1	"Darkangel Staff"	
