//##############################################
// ITEM FILE - WWW.MUENGINE.ORG                        //
// Last Revision: 09 August 2011                                  //
//##############################################

// Index	Name
0
78	"Dragon Boots-J"
79	"Legendary Boots-J"
80	"Guardian Boots-J"
81	"Light Plate Boots-J"
82	"Red Wing Boots-J"
83	"Sacred Fire Boots-J"
end
// Index	Name
12
0	"Wings of Elf"
1	"Wings of Heaven"
2	"Wings of Satan"
3	"Wings of Spirits"
4	"Wings of Soul"
5	"Wings of Dragon"
6	"Wings of Darkness"
7	"Orb of Twisting Slash"
8	"Healing Orb"
9	"Orb of Greater Fortitude"
10	"Orb of Greater Damage"
11	"Orb of Summoning"
12	"Orb of Rageful Blow"
13	"Orb of Impale"
14	"Orb of Greater Fortitude"
15	"Jewel of Chaos"
16	"Orb of Fire Slash"
17	"Orb of Penetration"
18	"Orb of Ice Arrow"
19	"Orb of Death Stab"
21	"Scroll of FireBurst"
22	"Scroll of Summon"
23	"Scroll of Critical Damage"
24	"Scroll of Electric Spark"
26	"gem of secret"
30	"bundle of Jewel of Bless"
31	"budle of Jewel of Soul"
32	"box of red ribbon"
33	"box of green ribbon"
34	"box of blue ribbon"
35	"Scroll of Fire Scream"
36	"Wing of Storm"
37	"Wing of Eternal"
38	"Wing of Illusion"
39	"Wing of Ruin"
40	"Cape of Emperor"
41	"Wing of Curse"
42	"Wind of Despair"
43	"Wing of Dimension"
44	"Crystal of Destruction"
45	"Crystal of Multi-Shot"
46	"Crystal of Recovery"
47	"Crystal of Flame Strike"
48	"Scroll of Chaotic Diseier"
49	"Cape of Fighter"
50	"Cape of Overrule"
60	"Seed (Fire)"
61	"Seed (Water)"
62	"Seed (Ice)"
63	"Seed (Wind)"
64	"Seed (Lightning)"
65	"Seed (Earth)"
70	"Sphere (Mono)"
71	"Sphere (Di)"
72	"Sphere (Tri)"
100	"Seed Sphere (Fire)"
101	"Seed Sphere (Water)"
102	"Seed Sphere (Ice)"
103	"Seed Sphere (Wind)"
104	"Seed Sphere (Lightning)"
105	"Seed Sphere (Earth)"
106	"Seed Sphere (Fire)"
107	"Seed Sphere (Water)"
108	"Seed Sphere (Ice)"
109	"Seed Sphere (Wind)"
110	"Seed Sphere (Lightning)"
111	"Seed Sphere (Earth)"
112	"Seed Sphere (Fire)"
113	"Seed Sphere (Water)"
114	"Seed Sphere (Ice)"
115	"Seed Sphere (Wind)"
116	"Seed Sphere (Lightning)"
117	"Seed Sphere (Earth)"
118	"Seed Sphere (Fire)"
119	"Seed Sphere (Water)"
120	"Seed Sphere (Ice)"
121	"Seed Sphere (Wind)"
122	"Seed Sphere (Lightning)"
123	"Seed Sphere (Earth)"
124	"Seed Sphere (Fire)"
125	"Seed Sphere (Water)"
126	"Seed Sphere (Ice)"
127	"Seed Sphere (Wind)"
128	"Seed Sphere (Lightning)"
129	"Seed Sphere (Earth)"
130	"Small Cape of Lord"
131	"Small Wing of Curse"
132	"Small Wings of Elf"
133	"Small Wings of Heaven"
134	"Small Wings of Satan"
135	"Little Warrior's Cloak"
136	"Jewel of Life Bundle"
137	"Jewel of Creation Bundle"
138	"Jewel of Guardian Bundle"
139	"Gemstone Bundle"
140	"Jewel of Harmony Bundle"
141	"Jewel of Chaos Bundle"
142	"Lower Refining Stone Bundle"
143	"Higher Refining Stone Bundle"
end
// Index	Name
13
0	"Guardian Angel"
1	"Imp"
2	"Horn of Uniria"
3	"Horn of Dinorant"
4	"Dark Horse"
5	"Dark Raven"
7	"Contract (Summon)"
8	"Ring of Ice"
9	"Ring of Poison"
10	"Transformation Ring"
11	"Order (Guardian/Life Stone)"
12	"Pendant of Lighting"
13	"Pendant of Fire"
14	"Loch's Feather"
15	"Fruits"
16	"Scroll of Archangel"
17	"Blood Bone"
18	"Invisibility Cloak"
19	"Absolute Weapon of Archangel"
20	"Wizards Ring"
21	"Ring of Fire"
22	"Ring of Earth"
23	"Ring of Wind"
24	"Ring of Magic"
25	"Pendant of Ice"
26	"Pendant of Wind"
27	"Pendant of Water"
28	"Pendant of Ability"
29	"Armor of Guardsman"
30	"Cape of Lord"
31	"Spirit"
32	"Splinter of Armor"
33	"Bless of Guardian"
34	"Claw of Beast"
35	"Fragment of Horn"
36	"Broken Horn"
37	"Horn of Fenrir"
38	"Moonstone Pendant"
39	"Eilte Transfer Skeleton Ring"
40	"Jack Olantern Ring"
41	"Transfer Christmas Ring"
42	"Ring of GM"
43	"Seal of Ascension"
44	"Seal of Wealth"
45	"Seal of Sustenance"
46	"Devil Square Ticket"
47	"Blood Castle Ticket"
48	"Kalima Ticket"
49	"Old Scroll"
50	"Illusion Sorcerer Covenant"
51	"Scroll of Blood"
52	"Condor Flame"
53	"Condor Feather"
54	"Reset Fruit Strength"
55	"Reset Fruit Quickness"
56	"Reset Fruit Health"
57	"Reset Fruit Energy"
58	"Reset Fruit Control"
59	"Seal of Mobility"
60	"Indulgence"
61	"Illusion Temple Ticket"
62	"Seal of Healing"
63	"Seal of Divinity"
64	"Demon"
65	"Spirit of Guardian"
66	"Invitation to Santa Village"
67	"Pet Rudolf"
68	"Snowman Transformation Ring"
69	"Talisman of Resurrection"
70	"Talisman of Mobility"
71	"Sword/Mace/Spear"
72	"Staff"
73	"Bow/Crossbow"
74	"Scepter"
75	"Stick"
76	"Panda Ring"
80	"Pet Panda"
81	"Talisman of Guardian"
82	"Talisman of Item Protection"
83	"Talisman of Wings of Satan"
84	"Talisman of Wings of Heaven"
85	"Talisman of Wings of Elf"
86	"Talisman of Wing of Curse"
87	"Talisman of Cape of Emperor"
88	"Talisman of Wings of Dragon"
89	"Talisman of Wings of Soul"
90	"Talisman of Wings of Spirits"
91	"Talisman of Wing of Despair"
92	"Talisman of Wings of Darkness"
93	"Master Seal of Ascension"
94	"Master Seal of Wealth"
95	"Gladiator's Honor"
96	"Seal of Strength"
103	"Party EXP Scroll"
104	"Max AG Boost Aura"
105	"Max SD Boost Aura"
106	"Pet Unicorn"
107	"Lethal Wizard's Ring"
109	"Sapphire Ring"
110	"Ruby Ring"
111	"Topaz Ring"
112	"Amethyst Ring"
113	"Ruby Necklace"
114	"Emerald Necklace"
115	"Sapphire Necklace"
116	"Seal of Wealth"
117	"Minimum Vitality Potion"
118	"Low Vitality Potion"
119	"Medium Vitality Potion"
120	"High Vitality Potion"
121	"Open Access Ticket to Chaos Ca"
122	"Skeleton Transformation Ring"
123	"Pet Skeleton"
124	"Paid Channel Access Ticket"
125	"Open Access Ticket to Doppelga"
126	"Open Access Ticket to Varka"
127	"Open Access Ticket to Varka Ma"
128	"Hawk Figurine"
129	"Goat Figurine"
130	"Oak Charm"
131	"Maple Charm"
132	"Golden Oak Charm"
133	"Golden Maple Charm"
134	"Worn Horseshoe"
135	"1st Lucky Armor Ticket"
136	"1st Lucky Pants Ticket"
137	"1st Lucky Helm Ticket"
138	"1st Lucky Gloves Ticket"
139	"1st Lucky Boots Ticket"
140	"2nd Lucky Armor Ticket"
141	"2nd Lucky Pants Ticket"
142	"2nd Lucky Helm Ticket"
143	"2nd Lucky Gloves Ticket"
144	"2nd Lucky Boots Ticket"
end
// Index	Name
14
0	"Apple"
1	"Small Healing Potion"
2	"Healing Potion"
3	"Large Healing Potion"
4	"Small Mana Potion"
5	"Mana Potion"
6	"Large Mana Potion"
7	"Siege Potion"
8	"Antidote"
9	"Ale"
10	"Town Portal Scroll"
11	"Box of Luck"
12	"Heart"
13	"Jewel of Bless"
14	"Jewel of Soul"
15	"Zen"
16	"Jewel of Life"
17	"Devil's Eye"
18	"Devil's Key"
19	"Devil's Invitation"
20	"Remedy of Love"
21	"Rena"
22	"Jewel of Creation"
23	"Scroll of the Emperor"
24	"Broken Sword"
25	"Tear of Elf"
26	"Soul Shard of Wizard"
28	"Lost Map"
29	"Symbol of Kundun"
31	"Jewel of Guardian"
32	"Pink Chocolate Box"
33	"Red Chocolate Box"
34	"Blue Chocolate Box"
35	"Small SD Potion"
36	"SD Potion"
37	"Large SD Potion"
38	"Small Complex Potion"
39	"Complex Potion"
40	"Large Complex Potion"
41	"Gemstone"
42	"Jewel of Harmony"
43	"Lower refining stone"
44	"Higher refining stone"
45	"Pumpkin of Luck"
46	"Jack O'Lantern Blessings"
47	"Jack O'Lantern Wrath"
48	"Jack O'Lantern Cry"
49	"Jack O'Lantern Food"
50	"Jack O'Lantern Drink"
51	"Chistmas Star"
52	"GM Gift"
53	"Talisman of Luck"
54	"Chaos Card"
55	"Green Chaos Box"
56	"Red Chaos Box"
57	"Purple Chaos Box"
58	"Rare Item Ticket1"
59	"Rare Item Ticket2"
60	"Rare Item Ticket3"
61	"Rare Item Ticket4"
62	"Rare Item Ticket5"
63	"Firecracker"
64	"Cursed Castle Water"
65	"Death-beam Knight Flame"
66	"Hell-Miner Horn"
67	"Dark Phoenix Feather"
68	"Abyssal Eye"
70	"Elite Healing Potion"
71	"Elite Mana Potion"
72	"Scroll of Quickness"
73	"Scroll of Defense"
74	"Scroll of Wrath"
75	"Scroll of Wizardry"
76	"Scroll of Health"
77	"Scroll of Mana"
78	"Elixir of Strength"
79	"Elixir of Agility"
80	"Elixir of Health"
81	"Elixir of Energy"
82	"Elixir of Control"
83	"Rare Item Ticket"
84	"Cherry Blossom Play-Box"
85	"Cherry Blossom Wine"
86	"Cherry Blossom Rice Cake"
87	"Cherry Blossom Flower Petal"
88	"White Cherry Blossom Branch"
89	"Red Cherry Blossom Branch"
90	"Golden Cherry Blossom Branch"
91	"Summoner Character Card"
92	"Chaos Card Gold"
93	"Chaos Card Rare"
94	"Medium Elite Healing Potion"
95	"Chaos Card  Mini"
96	"Talisman of Chaos Assembly"
97	"Scroll of Battle"
98	"Scroll of Strength"
99	"Christmas Firecracker"
100	"Lucky Coin"
101	"Suspicious Scrap of Paper"
102	"Gaion¡¯s Order"
103	"First Secromicon Fragment"
104	"Second Secromicon Fragment"
105	"Third Secromicon Fragment"
106	"Fourth Secromicon Fragment"
107	"Fifth Secromicon Fragment"
108	"Sixth Secromicon Fragment"
109	"Complete Secromicon"
110	"Sign of Dimensions"
111	"Mirror of Dimensions"
112	"Silver Key"
113	"Gold Key"
114	"Master Skill Reset"
115	"Stat Adjustment"
116	"Character Relocation Service"
117	"Character Rename Service"
118	"Server Relocation Service"
119	"Premium Package"
120	"Goblin Gold Coin"
121	"Sealed Golden Box"
122	"Sealed Silver Box"
123	"Golden Box"
124	"Silver Box"
125	"Package Box"
126	"30-Day Pass"
127	"90-Day Pass"
128	"30-Day Pass - Points"
129	"90-Day Pass - Points"
130	"3-Hour Pass"
131	"5-Hour Pass"
132	"10-Hour Pass"
133	"Elite SD Potion"
134	"Package Box A"
135	"Package Box B"
136	"Package Box C"
137	"Package Box D"
138	"Package Box E"
139	"Package Box F"
140	"Scroll of Healing"
141	"Shining Jewelry Case"
142	"Elegant Jewelry Case"
143	"Steel Jewelry Case"
144	"Old Jewelry Case"
145	"Rare Item Ticket 7"
146	"Rare Item Ticket 8"
147	"Rare Item Ticket 9"
148	"Rare Item Ticket 10"
149	"Rare Item Ticket 11"
150	"Rare Item Ticket 12"
151	"Lv. 1 Letter of Request"
152	"Lv. 1 Completion Certificate"
153	"Stardust"
154	"Kalt Stone"
155	"Tantalos's Armor"
156	"Burnt Murderer's Club"
157	"Green Box"
158	"Red Box"
159	"Purple Box"
160	"Jewel of Extension"
161	"Jewel of Elevation"
162	"Magic Backpack"
163	"Vault Expansion Certificate"
169	"RageFighter Character Card"
end
// Index	Name
15
0	"Scroll of Poison"
1	"Scroll of Meteorite"
2	"Scroll of Lighting"
3	"Scroll of Fire Ball"
4	"Scroll of Flame"
5	"Scroll of Teleport"
6	"Scroll of Ice"
7	"Scroll of Twister"
8	"Scroll of Evil Spirit"
9	"Scroll of Hellfire"
10	"Scroll of Power Wave"
11	"Scroll of Aqua Beam"
12	"Scroll of Cometfall"
13	"Scroll of Inferno"
14	"Scroll of Teleport Ally"
15	"Scroll of Soul Barrier"
16	"Scroll of Decay"
17	"Scroll of Ice Storm"
18	"Scroll of Nova"
19	"Chain Lightning Parchment"
20	"Drain Life Parchment"
21	"Lightning Shock Parchment"
22	"Damage Reflection Parchment"
23	"Berserker Parchment"
24	"Sleep Parchment"
26	"Weakness Parchment"
27	"Innovation Parchment"
28	"Scroll of Wizardry Enhance"
29	"Scroll of Gigantic Storm"
30	"Chain Drive Parchment"
31	"Dark Side Parchment"
32	"Dragon Roar Parchment"
33	"Dragon Slasher Parchment"
34	"Ignore Defense Parchment"
35	"Increase Health Parchment"
36	"Increase Block Parchment"
end
