//////////////////////////////////////////////////////////////////////////////////////																	
// EventItemBag 52																	
//	[ Start  ] 	2008.06.10															
//	[ Latest ]	2008-06-10 10:47 AM															
//	[ Author ]	이민정															
//	[ Version ]	0.0.0.1															
//	[ Text ]	세루판 이벤트 아이템백															
//	[ Desc ]	최초 작성															
//////////////////////////////////////////////////////////////////////////////////////																	
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임																	
//드롭가능맵 설정																	
0																	
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel													
	5	5	0	0	0	1	1	2	//전설의지팡이								
	5	6	0	0	0	1	1	2	//부활의지팡이								
	5	16	0	0	0	1	1	2	//레드윙스틱								
	5	21	0	0	1	1	1	2	//사아무트의서								
	7	34	0	0	0	1	1	2	//애쉬크로우헬멧								
	8	34	0	0	0	1	1	2	//애쉬크로우갑옷								
	9	34	0	0	0	1	1	2	//애쉬크로우바지								
	10	34	0	0	0	1	1	2	//애쉬크로우장갑								
	11	34	0	0	0	1	1	2	//애쉬크로우부츠								
	7	35	0	0	0	1	1	2	//이클립스헬멧								
	8	35	0	0	0	1	1	2	//이클립스갑옷								
	9	35	0	0	0	1	1	2	//이클립스바지								
	10	35	0	0	0	1	1	2	//이클립스장갑								
	11	35	0	0	0	1	1	2	//이클립스부츠								
	7	36	0	0	0	1	1	2	//아이리스헬멧								
	8	36	0	0	0	1	1	2	//아이리스갑옷								
	9	36	0	0	0	1	1	2	//아이리스바지								
	10	36	0	0	0	1	1	2	//아이리스장갑								
	11	36	0	0	0	1	1	2	//아이리스부츠								
	8	37	0	0	0	1	1	2	//발리언트갑옷								
	9	37	0	0	0	1	1	2	//발리언트바지								
	10	37	0	0	0	1	1	2	//발리언트장갑								
	11	37	0	0	0	1	1	2	//발리언트부츠								
	7	38	0	0	0	1	1	2	//글로리어스마스크								
	8	38	0	0	0	1	1	2	//글로리어스갑옷								
	9	38	0	0	0	1	1	2	//글로리어스바지								
	10	38	0	0	0	1	1	2	//글로리어스장갑								
	11	38	0	0	0	1	1	2	//글로리어스부츠								
	6	13	0	0	1	1	1	2	//드라곤방패								
	6	14	0	0	1	1	1	2	//전설의방패								
	6	16	0	0	1	1	1	2	//엘리멘탈방패								
end																	
//획득확률 : 7000/10000																	
7000																	
//소켓 아이템류																	
	0	26	3	5	1	1	1	0	//플랑베루주								
	0	27	3	5	1	1	1	0	//소드브레이커								
	0	28	3	5	1	1	1	0	//룬바스타드								
	2	16	3	5	1	1	1	0	//프로스트메이스								
	2	17	3	5	1	1	1	0	//앱솔루트셉터								
	4	23	3	5	1	1	1	0	//다크스팅거								
	5	30	3	5	0	1	1	0	//데들리스태프								
	5	31	3	5	0	1	1	0	//인베리알스태프								
	5	32	3	5	0	1	1	0	//소울브링거								
	6	17	3	5	1	1	1	0	//크림슨글로리								
	6	18	3	5	1	1	1	0	//샐러맨더실드								
	6	19	3	5	1	1	1	0	//프로스트배리어								
	6	20	3	5	1	1	1	0	//가디안방패								
	7	45	3	5	0	1	1	0	//티탄투구								
	7	46	3	5	0	1	1	0	//브레이브헬멧								
	7	49	3	5	0	1	1	0	//세라핌헬멧								
	7	50	3	5	0	1	1	0	//디바인헬멧								
	7	51	3	5	0	1	1	0	//패왕마스크								
	7	52	3	5	0	1	1	0	//하데스헬멧								
//	7	53	3	5	0	1	1	0	//서큐버스헬멧								
	8	45	3	5	0	1	1	0	//티탄갑옷								
	8	46	3	5	0	1	1	0	//브레이브갑옷								
	8	47	3	5	0	1	1	0	//팬텀갑옷								
	8	48	3	5	0	1	1	0	//디스트로이갑옷								
	8	49	3	5	0	1	1	0	//세라핌갑옷								
	8	50	3	5	0	1	1	0	//디바인갑옷								
	8	51	3	5	0	1	1	0	//패왕갑옷								
	8	52	3	5	0	1	1	0	//하데스갑옷								
//	8	53	3	5	0	1	1	0	//서큐버스갑옷								
	9	45	3	5	0	1	1	0	//티탄바지								
	9	46	3	5	0	1	1	0	//브레이브바지								
	9	47	3	5	0	1	1	0	//팬텀바지								
	9	48	3	5	0	1	1	0	//디스트로이바지								
	9	49	3	5	0	1	1	0	//세라핌바지								
	9	50	3	5	0	1	1	0	//디바인바지								
	9	51	3	5	0	1	1	0	//패왕바지								
	9	52	3	5	0	1	1	0	//하데스바지								
//	9	53	3	5	0	1	1	0	//서큐버스바지								
	10	45	3	5	0	1	1	0	//티탄장갑								
	10	46	3	5	0	1	1	0	//브레이브장갑								
	10	47	3	5	0	1	1	0	//팬텀장갑								
	10	48	3	5	0	1	1	0	//디스트로이장갑								
	10	49	3	5	0	1	1	0	//세라핌장갑								
	10	50	3	5	0	1	1	0	//디바인장갑								
	10	51	3	5	0	1	1	0	//패왕장갑								
	10	52	3	5	0	1	1	0	//하데스장갑								
//	10	53	3	5	0	1	1	0	//서큐버스장갑								
	11	45	3	5	0	1	1	0	//티탄부츠								
	11	46	3	5	0	1	1	0	//브레이브부츠								
	11	47	3	5	0	1	1	0	//팬텀부츠								
	11	48	3	5	0	1	1	0	//디스트로이부츠								
	11	49	3	5	0	1	1	0	//세라핌부츠								
	11	50	3	5	0	1	1	0	//디바인부츠								
	11	51	3	5	0	1	1	0	//패왕부츠								
	11	52	3	5	0	1	1	0	//하데스부츠								
//	11	53	3	5	0	1	1	0	//서큐버스부츠								
end																	
end																	
