////////////////////////////////////////////////////////////////////////////////																																	
//	[ Text  Version ]	0.0.0.3																															
//	[ 최종 작업자 ]	이기수																															
//	[ 최종 작업일 ]	2008-10-21 14:00																															
//	[ 작 업 내 용 ]	"마력증대, 기간틱 레벨 수정(100 -> 220)"																															
////////////////////////////////////////////////////////////////////////////////																																	
//속성1 [-1(없음). 0(얼음). 1(독). 2(번개). 3(불). 4(땅). 5(바람). 6(물)]																																	
//속성2 [-1(없음). 0(물리). 1(마법)]																																	
// SkillBrand [특정 스킬이 있어야지만 사용이 가능]. 마스터레벨의 경우 액티브 강화 스킬은 선행스킬 조건을 같은 스킬로 넣어야함																																	
// SkillUsetype [0(일반스킬). 1(직책스킬). 3(마스터레벨:패시브). 4(마스터레벨:액티브)]																																	
// 스킬 타입 : [0(일반스킬). 1(버프:아군에게 이로운 효과). 2(디버프:적군에게 해로운 효과). 3(치료:대상을 회복시킴)]																																	
//번호	Name	레벨	데미지	사용마나량	어빌리티	거리	Delay	Eng	Cha	속성	속성2	SkilluseType	SkillBrand	KillCout	길마	부길마	베틀마스터	흑마법사	흑기사	요정	마검사	다크로드	소환술사	스킬랭크	스킬그룹	필요마스터레벨포인트	소모체력	소모SD	지속시간	필요힘	필요민첩	아이콘번호	스킬 타입
9	"악령"	50	45	90	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
10	"헬파이어"	60	120	160	0	0	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
12	"아쿠아플래쉬"	74	80	140	0	6	0	110	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16	"소울바리어"	77	0	70	22	6	0	126	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13	"블래스트"	80	70	150	0	3	0	150	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
15	"텔레키네시스"	83	0	90	25	6	0	188	0	-1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	"인페르노"	88	100	200	0	0	0	200	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
39	"서든아이스"	93	80	100	5	6	0	223	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	"데쓰포이즌"	96	95	110	7	6	0	243	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
40	"헬버스트"	100	0	180	45	6	0	258	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	"표창"	0	90	150	10	6	0	0	0	-1	-1	0	75	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
																																	
18	"방어"	0	0	30	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
19	"내려찍기"	0	0	9	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
20	"찌르기"	0	0	9	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
21	"올려치기"	0	0	8	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
22	"돌려치기"	0	0	9	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
23	"베기"	0	0	10	0	2	0	100	0	-1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
																																	
41	"회오리베기"	0	0	10	10	2	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
47	"창찌르기"	28	15	8	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
49	"레이드 슛"	110	30	9	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	"스웰라이프"	120	0	22	24	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
43	"블로우"	160	70	15	12	2	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	"분노의 일격"	170	60	25	20	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	"반월베기"	0	90	22	15	4	0	0	0	-1	-1	0	75	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																	
24	"다발"	0	0	5	0	6	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
26	"치료"	8	0	20	0	6	0	100	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
27	"방어력향상"	13	0	30	0	6	0	100	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
28	"공격력향상"	18	0	40	0	6	0	100	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
52	"관통"	130	70	7	9	6	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
51	"아이스애로우"	0	105	10	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
//53	"__요정추가스킬"	84	0	70	40	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
46	"디센트애로우"	0	120	20	15	8	0	0	0	-1	-1	0	75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
																																	
30	"고블린소환"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31	"돌괴물소환"	0	0	70	0	0	0	170	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
32	"암살자소환"	0	0	110	0	0	0	190	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
33	"설인대장소환"	0	0	160	0	0	0	230	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
34	"다크나이트소환"	0	0	200	0	0	0	250	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
35	"발리소환"	0	0	250	0	0	0	260	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
36	"솔져소환"	0	0	350	0	0	0	280	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
																																	
55	"블러드어택"	0	80	15	20	2	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
56	"파워슬레쉬"	0	0	15	0	5	0	100	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
57	"나선베기"	0	75	20	15	5	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
73	"광살포"	0	85	130	7	6	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
																																	
50	"악의불꽃(몬스터)"	60	120	160	0	0	0	100	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																	
//다크로드																																	
60	"포스"	0	10	10	0	4	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
61	"파이어 버스트"	74	100	25	0	6	0	20	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
62	"어스 쉐이크"	0	150	0	50	10	10000	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
63	"셔먼"	98	0	70	30	0	30000	34	400	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
64	"크리티컬데미지증가"	82	0	50	50	0	0	25	300	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
65	"일렉트릭 스파이크"	92	250	0	100	10	5000	29	340	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
66	"포스 웨이브"	0	50	10	0	4	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
74	"파이어 브래스트"	0	150	30	10	6	0	0	0	-1	-1	0	75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
//75	"세크리파이스"	120	0	100	35	0	0	37	450	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
78	"파이어 스크림"	102	130	45	10	6	0	32	70	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
79	"폭발"	0	0	0	0	2	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
//직책스킬																																	
67	"스턴"	0	0	70	50	2	0	0	0	-1	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2
68	"스턴해제"	0	0	25	30	0	0	0	0	-1	-1	1	0	2	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
69	"스웰마나"	0	0	35	30	0	0	0	0	-1	-1	1	0	4	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
70	"투명"	0	0	80	60	0	0	0	0	-1	-1	1	0	5	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
71	"투명해제"	0	0	40	30	0	0	0	0	-1	-1	1	0	2	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
72	"마법해제"	0	0	90	70	0	0	0	0	-1	-1	1	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
																																	
//펜릴																																	
76	"플라즈마스톰"	110	60	50	20	6	1500	0	0	-1	0	0	0	0	0	0	0	2	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0
																																	
//몬스터스킬																																	
200	"몬스터소환"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	"마법공격무적"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	"물리공격무적"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203	"축복의물약"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
204	"영혼의물약"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
// 요정 추가 스킬																																	
77	"인피니티 애로우"	220	0	50	10	6	200	0	0	-1	-1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
																																	
// 210번 미만 인덱스 사용 불가 (뭔가 쓰이는 곳이 있다고 함)																																	
// 신규 이벤트맵 전용 스킬																																	
210	"보호의 주문"	0	0	30	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
211	"속박의 주문"	0	0	30	0	3	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2
212	"추적의 주문"	0	0	30	0	0	0	0	0	0	0	0	0	10	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
213	"쉴드번"	0	0	30	0	3	0	0	0	0	0	0	0	5	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
// 소환술사 스킬																																	
214	"드레인 라이프"	35	35	50	0	6	0	93	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
219	"슬립"	40	0	20	3	6	0	100	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
223	"익스플로젼"	50	40	90	5	6	4000	100	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
215	"체인 라이트닝"	75	70	85	0	6	0	75	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
224	"레퀴엠"	75	65	110	10	6	4000	100	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
217	"데미지반사"	80	0	40	10	5	5000	111	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
225	"펄루션"	85	80	120	15	6	4000	158	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
//224	"환수4"	72	100	130	20	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
//216	"라이트닝 오브"	93	95	120	7	6	0	216	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
230	"라이트닝쇼크"	93	95	115	7	6	0	216	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
218	"버서커"	83	0	100	50	5	5000	181	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
//225	"환수5"	88	115	140	20	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
221	"위크니스"	93	0	50	15	6	4000	173	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
//226	"환수6"	97	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
//227	"환수7"	102	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
//228	"환수8"	106	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
222	"이너베이션"	111	0	70	15	6	4000	201	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
//229	"환수9"	116	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
//220	"블라인드"	0	0	20	10	6	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
// 신규 추가 스킬																																	
232	"파괴의일격"	100	110	30	24	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233	"마력증대"	220	0	200	50	6	0	118	0	-1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
234	"회복"	100	0	40	10	6	0	37	0	-1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
235	"멀티샷"	100	40	10	7	6	0	0	0	-1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
236	"플레임스트라이크"	100	140	20	25	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
237	"기간틱스톰"	220	110	120	10	6	0	118	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
238	"카오틱디세이어"	100	190	50	15	6	0	16	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
// 마스터레벨 스킬																																	
// 패시브 스킬																																	
300	"공격 성공율 상승"	1	400	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	1	1	0	0	0	0	0	2	0
301	"공격 성공율 상승"	2	900	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	1	1	0	0	0	0	0	2	0
302	"공격 성공율 상승"	3	1600	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	1	1	0	0	0	0	0	2	0
303	"공격 성공율 상승"	4	2700	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	1	1	0	0	0	0	0	2	0
304	"공격 성공율 상승"	5	4400	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	1	1	0	0	0	0	0	2	0
305	"대인 공격율 상승"	1	1000	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	2	1	0	0	0	0	0	3	0
306	"대인 공격율 상승"	2	2300	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	2	1	0	0	0	0	0	3	0
307	"대인 공격율 상승"	3	4000	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	2	1	0	0	0	0	0	3	0
308	"대인 공격율 상승"	4	6500	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	2	1	0	0	0	0	0	3	0
309	"대인 공격율 상승"	5	10000	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	2	1	0	0	0	0	0	3	0
310	"대인 방어율 증가"	1	600	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	3	1	0	0	0	0	0	1	0
311	"대인 방어율 증가"	2	1300	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	3	1	0	0	0	0	0	1	0
312	"대인 방어율 증가"	3	2100	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	3	1	0	0	0	0	0	1	0
313	"대인 방어율 증가"	4	3000	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	3	1	0	0	0	0	0	1	0
314	"대인 방어율 증가"	5	4000	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	3	1	0	0	0	0	0	1	0
315	"내구 감소 1"	1	20	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	4	1	0	0	0	0	0	4	0
316	"내구 감소 1"	2	40	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	4	1	0	0	0	0	0	4	0
317	"내구 감소 1"	3	60	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	4	1	0	0	0	0	0	4	0
318	"내구 감소 1"	4	80	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	4	1	0	0	0	0	0	4	0
319	"내구 감소 1"	5	100	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	1	4	1	0	0	0	0	0	4	0
320	"내구 감소 2"	1	20	0	0	0	0	0	0	-1	-1	3	319	0	0	0	0	3	3	3	3	3	3	1	5	1	0	0	0	0	0	5	0
321	"내구 감소 2"	2	40	0	0	0	0	0	0	-1	-1	3	320	0	0	0	0	3	3	3	3	3	3	1	5	1	0	0	0	0	0	5	0
322	"내구 감소 2"	3	60	0	0	0	0	0	0	-1	-1	3	321	0	0	0	0	3	3	3	3	3	3	1	5	1	0	0	0	0	0	5	0
323	"내구 감소 2"	4	80	0	0	0	0	0	0	-1	-1	3	322	0	0	0	0	3	3	3	3	3	3	1	5	1	0	0	0	0	0	5	0
324	"내구 감소 2"	5	100	0	0	0	0	0	0	-1	-1	3	323	0	0	0	0	3	3	3	3	3	3	1	5	1	0	0	0	0	0	5	0
325	"저항력 상승(독)"	1	1	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	6	1	0	0	0	0	0	6	0
326	"저항력 상승(독)"	2	2	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	6	1	0	0	0	0	0	6	0
327	"저항력 상승(독)"	3	3	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	6	1	0	0	0	0	0	6	0
328	"저항력 상승(독)"	4	4	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	6	1	0	0	0	0	0	6	0
329	"저항력 상승(독)"	5	5	0	0	0	0	0	0	1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	6	2	0	0	0	0	0	6	0
330	"저항력 상승(번개)"	1	1	0	0	0	0	0	0	2	-1	3	329	0	0	0	0	3	3	3	3	3	3	2	7	1	0	0	0	0	0	7	0
331	"저항력 상승(번개)"	2	2	0	0	0	0	0	0	2	-1	3	330	0	0	0	0	3	3	3	3	3	3	2	7	1	0	0	0	0	0	7	0
332	"저항력 상승(번개)"	3	3	0	0	0	0	0	0	2	-1	3	331	0	0	0	0	3	3	3	3	3	3	2	7	1	0	0	0	0	0	7	0
333	"저항력 상승(번개)"	4	4	0	0	0	0	0	0	2	-1	3	332	0	0	0	0	3	3	3	3	3	3	2	7	1	0	0	0	0	0	7	0
334	"저항력 상승(번개)"	5	5	0	0	0	0	0	0	2	-1	3	333	0	0	0	0	3	3	3	3	3	3	2	7	2	0	0	0	0	0	7	0
335	"저항력 상승(얼음)"	1	1	0	0	0	0	0	0	0	-1	3	334	0	0	0	0	3	3	3	3	3	3	2	8	1	0	0	0	0	0	8	0
336	"저항력 상승(얼음)"	2	2	0	0	0	0	0	0	0	-1	3	335	0	0	0	0	3	3	3	3	3	3	2	8	1	0	0	0	0	0	8	0
337	"저항력 상승(얼음)"	3	3	0	0	0	0	0	0	0	-1	3	336	0	0	0	0	3	3	3	3	3	3	2	8	1	0	0	0	0	0	8	0
338	"저항력 상승(얼음)"	4	4	0	0	0	0	0	0	0	-1	3	337	0	0	0	0	3	3	3	3	3	3	2	8	1	0	0	0	0	0	8	0
339	"저항력 상승(얼음)"	5	5	0	0	0	0	0	0	0	-1	3	338	0	0	0	0	3	3	3	3	3	3	2	8	2	0	0	0	0	0	8	0
340	"생명력 자동 회복 강화"	1	1	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	9	1	0	0	0	0	0	9	0
341	"생명력 자동 회복 강화"	2	2	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	9	1	0	0	0	0	0	9	0
342	"생명력 자동 회복 강화"	3	3	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	9	1	0	0	0	0	0	9	0
343	"생명력 자동 회복 강화"	4	4	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	9	1	0	0	0	0	0	9	0
344	"생명력 자동 회복 강화"	5	5	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	9	2	0	0	0	0	0	9	0
345	"젠 증가"	1	40	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	10	1	0	0	0	0	0	10	0
346	"젠 증가"	2	80	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	10	1	0	0	0	0	0	10	0
347	"젠 증가"	3	120	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	10	1	0	0	0	0	0	10	0
348	"젠 증가"	4	160	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	10	1	0	0	0	0	0	10	0
349	"젠 증가"	5	200	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	2	10	2	0	0	0	0	0	10	0
350	"방어력 증가"	1	50	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	11	1	0	0	0	0	0	11	0
351	"방어력 증가"	2	100	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	11	1	0	0	0	0	0	11	0
352	"방어력 증가"	3	150	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	11	1	0	0	0	0	0	11	0
353	"방어력 증가"	4	200	0	0	0	0	0	0	-1	-1	3	0	0	0	0	0	3	3	3	3	3	3	3	11	2	0	0	0	0	0	11	0
