//////////////////////////////////////////////////////////////////////////////////////												
// 파일명: 												
//	[ Start  ] 	2013. 09. 25										
//	[ Latest ]											
//	[ Author ]											
//	[ Version ]											
//	[ Text ]											
//	[ Desc ]	기존 아이템백 구조상에서 확장 컬럼 추가										
//////////////////////////////////////////////////////////////////////////////////////												
//												
// 												
// 드랍 젠 계산 방식 = 지정 젠 * MinLevel * MaxLevel 의 수치 만큼 젠 드랍 결정 [MinLevel <= MaxLevel] 항상 만족하도록 기술할 것!												
// 세트 아이템, 소켓 아이템 Slot 구조 추가												
// 												
// SetType: 반드시 ItemSettype 스크립트의 Link와 일치하도록 기술. Link a = 1, link b = 2, link c = 3, link d = 4												
//////////////////////////////////////////////////////////////////////////////////////												
//												
// *** 												
// *** SetType의 경우 국내와 중국 동일, 글로벌 및  기타 해외 국가 반드시 개별 확인 필요!!! (2013.12. 02 기준) 												
// ***												
//												
//////////////////////////////////////////////////////////////////////////////////////												
												
// SetOption:	0 = 랜덤, 1 = +5 옵션을 생성, 2 = +10 옵션을 생성											
												
// --SocketSlotCount												
//드롭가능맵 설정												
0												
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel								
	14	14	0	0	0	0	0	0	0	0	0	//영혼의보석
end												
60000												
	14	16	0	0	0	0	0	0	0	0	0	//생명의보석
end												
60000												
	14	13	0	0	0	0	0	0	0	0	0	//축복의보석
end												
60000												
	14	42	0	0	0	0	0	0	0	0	0	//조화의보석
end												
50000												
	14	15	1	10	0	0	0	0	0	0	0	//10만젠
end												
200000												
	0	16	0	0	1	0	1	1	0	0	0	//(엑설런트)파괴의검
	0	17	0	0	1	0	1	1	0	0	0	//(엑설런트)다크브레이커
	0	31	0	0	1	0	1	1	0	0	0	//(엑설런트)데스브로드
	2	10	0	0	1	0	1	1	0	0	0	//(엑설런트)그레이트셉터
	2	11	0	0	1	0	1	1	0	0	0	//(엑설런트)로드셉터
	4	17	0	0	1	0	1	1	0	0	0	//(엑설런트)홀리사이트보우
	5	8	0	0	1	0	1	1	0	0	0	//(엑설런트)파멸의지팡이
	5	9	0	0	1	0	1	1	0	0	0	//(엑설런트)드래곤소울지팡이
	5	17	0	0	1	0	1	1	0	0	0	//(엑설런트)에이션트스틱
	0	33	0	0	1	0	1	1	0	0	0	//(엑설런트)홀리스톰클로
	0	34	0	0	1	0	1	1	0	0	0	//(엑설런트)피어싱블레이드글러브
	2	1	0	0	1	0	1	1	0	0	0	//(엑설런트)모닝스타
	3	10	0	0	1	0	1	1	0	0	0	//(엑설런트)드라곤스피어
	4	22	0	0	1	0	1	1	0	0	0	//(엑설런트)알바트로스보우
	5	18	0	0	1	0	1	1	0	0	0	//(엑설런트)데모닉스틱
end												
300000	//380											
	0	22	0	0	1	1	1	1	0	0	0	//본블레이드
	0	23	0	0	1	1	1	1	0	0	0	//익스플로전블레이드
	0	35	0	0	1	1	1	1	0	0	0	//피닉스소울스타
	2	14	0	0	1	1	1	1	0	0	0	//솔레이유셉터
	4	21	0	0	1	1	1	1	0	0	0	//실프윈드보우
	5	12	0	0	1	1	1	1	0	0	0	//그랜드바이퍼지팡이
	5	19	0	0	1	1	1	1	0	0	0	//스톰블리츠스틱
	7	29	0	0	0	1	1	1	0	0	0	//드래곤나이트투구
	7	30	0	0	0	1	1	1	0	0	0	//베놈미스트헬멧
	7	31	0	0	0	1	1	1	0	0	0	//실피드레이헬멧
	7	33	0	0	0	1	1	1	0	0	0	//썬라이트마스크
	7	43	0	0	0	1	1	1	0	0	0	//스톰블리츠헬멧
	7	73	0	0	0	1	1	1	0	0	0	//피닉스소울투구
	8	29	0	0	0	1	1	1	0	0	0	//드래곤나이트갑옷
	8	30	0	0	0	1	1	1	0	0	0	//베놈미스트갑옷
	8	31	0	0	0	1	1	1	0	0	0	//실피드레이갑옷
	8	32	0	0	0	1	1	1	0	0	0	//볼케이노갑옷
	8	33	0	0	0	1	1	1	0	0	0	//썬라이트갑옷
	8	43	0	0	0	1	1	1	0	0	0	//스톰블리츠갑옷
	8	73	0	0	0	1	1	1	0	0	0	//피닉스소울갑옷
	9	29	0	0	0	1	1	1	0	0	0	//드래곤나이트바지
	9	30	0	0	0	1	1	1	0	0	0	//베놈미스트바지
	9	31	0	0	0	1	1	1	0	0	0	//실피드레이바지
	9	32	0	0	0	1	1	1	0	0	0	//볼케이노바지
	9	33	0	0	0	1	1	1	0	0	0	//썬라이트바지
	9	43	0	0	0	1	1	1	0	0	0	//스톰블리츠바지
	9	73	0	0	0	1	1	1	0	0	0	//피닉스소울바지
	10	29	0	0	0	1	1	1	0	0	0	//드래곤나이트장갑
	10	30	0	0	0	1	1	1	0	0	0	//베놈미스트장갑
	10	31	0	0	0	1	1	1	0	0	0	//실피드레이장갑
	10	32	0	0	0	1	1	1	0	0	0	//볼케이노장갑
	10	33	0	0	0	1	1	1	0	0	0	//썬라이트장갑
	10	43	0	0	0	1	1	1	0	0	0	//스톰블리츠장갑
	11	29	0	0	0	1	1	1	0	0	0	//드래곤나이트부츠
	11	30	0	0	0	1	1	1	0	0	0	//베놈미스트부츠
	11	31	0	0	0	1	1	1	0	0	0	//실피드레이부츠
	11	32	0	0	0	1	1	1	0	0	0	//볼케이노부츠
	11	33	0	0	0	1	1	1	0	0	0	//썬라이트부츠
	11	43	0	0	0	1	1	1	0	0	0	//스톰블리츠부츠
	11	73	0	0	0	1	1	1	0	0	0	//피닉스소울부츠
end												
50000	//로크의 깃털											
	13	14	0	0	0	0	0	0	0	0	0	//로크의깃털
end	
end
