[2023-03-14 20:37:20] Connection Closed, dwIoSize == 0 (Index:0)
[2023-03-14 07:49:25] IOCP Initialized... PORT [ 58970 ]
[2023-03-14 07:49:25] eJS Queue Thread Started
[2023-03-14 07:49:25] eJS Queue Initial Capacity is 100
[2023-03-14 07:49:25] MuOnlineJoinDB ODBC Connection Successfull!
[2023-03-14 07:49:25] MuOnline ODBC Connection Successfull!
[2023-03-14 07:49:25] LogHistoryDB ODBC Connection Successfull!
[2023-03-14 07:49:25] Max Server Connection 10
[2023-03-14 07:49:25] ME eJS Init Done
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:31] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:32] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:49:33] error-L2 : ServerIndex = -1
[2023-03-14 07:50:29] GameServer connected PVP1 PORT : 55915 CODE : 0
[2023-03-14 07:57:15] Connection Closed, dwIoSize == 0 (Index:1)
[2023-03-14 07:58:07] GameServer connected PVP1 PORT : 55915 CODE : 0
[2023-03-14 07:59:55] Connection Closed, dwIoSize == 0 (Index:1)
[2023-03-14 08:01:18] GameServer connected PVP1 PORT : 55915 CODE : 0
[2023-03-14 08:01:29] Connection Closed, dwIoSize == 0 (Index:1)
[2023-03-14 08:02:03] GameServer connected PVP1 PORT : 55915 CODE : 0
[2023-03-14 08:02:57] Wrong Password (0) - AccountId : byteme5
[2023-03-14 08:03:00] Wrong Password (0) - AccountId : byteme5
[2023-03-14 08:03:12] test2 Login, IP:[120.29.109.79] Server:[PVP1] Code:[0]
[2023-03-14 08:09:43] FAILED: INSERT INTO MuLogEx (AccountId,TimeIn,TimeOut,IP,OnlineDuration,Server,MAC) VALUES ('test2','1678806192','1678806583','120.29.109.79',391,0,'')
[2023-03-14 08:09:43] test2 Logout, Online Duration:[6.5 min]
