//////////////////////////////////////////////////////////////////////////////////////										
// DoppelgangerItenBag										
//	[ Start  ] 	2009.07.								
//	[ Latest ]	2009-07-  12:00:00 PM								
//	[ Author ]	이기수								
//	[ Version ]	0.0.0.0								
//	[ Text ]									
//	[ Desc ]									
//////////////////////////////////////////////////////////////////////////////////////										
//probability designation column										
0										
	//skill	luck	addoption	exitemflag						
	5	11	0	7	1	1	1	1	//쿤둔의지팡이	
	4	16	0	7	1	1	1	1	//세인트크로스석궁	
	4	17	0	7	1	1	1	1	//홀리사이트보우	
	4	19	0	7	1	1	1	1	//그레이트레인석궁	
	2	12	0	7	1	1	1	1	//그레이트로드셉터	
	5	17	0	7	1	1	1	1	//에이션트스틱	
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
end										
7	0	20	0	7	1	1	1	1	//나이트블레이드	
	0	21	0	7	1	1	1	1	//데쓰블레이드	
	0	31	0	7	1	1	1	1	//데쓰브로드	
	0	24	0	7	1	1	1	1	//데이브레이크	
	0	25	0	7	1	1	1	1	//소드댄서	
	5	13	0	7	1	1	1	1	//플라타나윙스태프	
	4	20	0	7	1	1	1	1	//에로우바이퍼보우	
	4	22	0	7	1	1	1	1	//알바트로스보우	
	2	15	0	7	1	1	1	1	//샤이닝셉터	
	5	18	0	7	1	1	1	1	//데모닉스틱	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
	// armor									
8	7	7	0	7	1	1	1	1	//스핑크스투구	
	8	7	0	7	1	1	1	1	//스핑크스갑옷	
	9	7	0	7	1	1	1	1	//스핑크스바지	
	10	7	0	7	1	1	1	1	//스핑크스장갑	
	11	7	0	7	1	1	1	1	//스핑크스부츠	
	7	8	0	7	1	1	1	1	//황동투구	
	8	8	0	7	1	1	1	1	//황동갑옷	
	9	8	0	7	1	1	1	1	//황동바지	
	10	8	0	7	1	1	1	1	//황동장갑	
	11	8	0	7	1	1	1	1	//황동부츠	
	7	13	0	7	1	1	1	1	//정령투구	
	8	13	0	7	1	1	1	1	//정령갑옷	
	9	13	0	7	1	1	1	1	//정령바지	
	10	13	0	7	1	1	1	1	//정령장갑	
	11	13	0	7	1	1	1	1	//정령부츠	
	7	39	0	7	1	1	1	1	//바이올랜윈드투구	
	8	39	0	7	1	1	1	1	//바이올랜윈드갑옷	
	9	39	0	7	1	1	1	1	//바이올랜윈드바지	
	10	39	0	7	1	1	1	1	//바이올랜윈드장갑	
	11	39	0	7	1	1	1	1	//바이올랜윈드부츠	
	7	25	0	7	1	1	1	1	//라운드투구	
	8	25	0	7	1	1	1	1	//라운드갑옷	
	9	25	0	7	1	1	1	1	//라운드바지	
	10	25	0	7	1	1	1	1	//라운드장갑	
	11	25	0	7	1	1	1	1	//라운드부츠	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
9	7	1	0	7	1	1	1	1	//드라곤투구	
	8	1	0	7	1	1	1	1	//드라곤갑옷	
	9	1	0	7	1	1	1	1	//드라곤바지	
	10	1	0	7	1	1	1	1	//드라곤장갑	
	11	1	0	7	1	1	1	1	//드라곤부츠	
	7	12	0	7	1	1	1	1	//바람투구	
	8	12	0	7	1	1	1	1	//바람갑옷	
	9	12	0	7	1	1	1	1	//바람바지	
	10	12	0	7	1	1	1	1	//바람장갑	
	11	12	0	7	1	1	1	1	//바람부츠	
	7	14	0	7	1	1	1	1	//수호투구	
	8	14	0	7	1	1	1	1	//수호갑옷	
	9	14	0	7	1	1	1	1	//수호바지	
	10	14	0	7	1	1	1	1	//수호장갑	
	11	14	0	7	1	1	1	1	//수호부츠	
	7	40	0	7	1	1	1	1	//레드윙투구	
	8	40	0	7	1	1	1	1	//레드윙갑옷	
	9	40	0	7	1	1	1	1	//레드윙바지	
	10	40	0	7	1	1	1	1	//레드윙장갑	
	11	40	0	7	1	1	1	1	//레드윙부츠	
	7	26	0	7	1	1	1	1	//다크소울투구	
	8	26	0	7	1	1	1	1	//다크소울갑옷	
	9	26	0	7	1	1	1	1	//다크소울바지	
	10	26	0	7	1	1	1	1	//다크소울장갑	
	11	26	0	7	1	1	1	1	//다크소울부츠	
	7	34	0	7	1	1	1	1	//애쉬크로우투구	
	8	34	0	7	1	1	1	1	//애쉬크로우갑옷	
	9	34	0	7	1	1	1	1	//애쉬크로우바지	
	10	34	0	7	1	1	1	1	//애쉬크로우장갑	
	11	34	0	7	1	1	1	1	//애쉬크로우부츠	
	7	35	0	7	1	1	1	1	//이클립스투구	
	8	35	0	7	1	1	1	1	//이클립스갑옷	
	9	35	0	7	1	1	1	1	//이클립스바지	
	10	35	0	7	1	1	1	1	//이클립스장갑	
	11	35	0	7	1	1	1	1	//이클립스부츠	
	7	36	0	7	1	1	1	1	//아이리스투구	
	8	36	0	7	1	1	1	1	//아이리스갑옷	
	9	36	0	7	1	1	1	1	//아이리스바지	
	10	36	0	7	1	1	1	1	//아이리스장갑	
	11	36	0	7	1	1	1	1	//아이리스부츠	
	8	37	0	7	1	1	1	1	//발리언트갑옷	
	9	37	0	7	1	1	1	1	//발리언트바지	
	10	37	0	7	1	1	1	1	//발리언트장갑	
	11	37	0	7	1	1	1	1	//발리언트부츠	
	7	38	0	7	1	1	1	1	//글로리어스투구	
	8	38	0	7	1	1	1	1	//글로리어스갑옷	
	9	38	0	7	1	1	1	1	//글로리어스바지	
	10	38	0	7	1	1	1	1	//글로리어스장갑	
	11	38	0	7	1	1	1	1	//글로리어스부츠	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
10	7	17	0	7	1	1	1	1	//다크피닉스투구	
	8	17	0	7	1	1	1	1	//다크피닉스갑옷	
	9	17	0	7	1	1	1	1	//다크피닉스바지	
	10	17	0	7	1	1	1	1	//다크피닉스장갑	
	11	17	0	7	1	1	1	1	//다크피닉스부츠	
	7	18	0	7	1	1	1	1	//그랜드소울투구	
	8	18	0	7	1	1	1	1	//그랜드소울갑옷	
	9	18	0	7	1	1	1	1	//그랜드소울바지	
	10	18	0	7	1	1	1	1	//그랜드소울장갑	
	11	18	0	7	1	1	1	1	//그랜드소울부츠	
	7	19	0	7	1	1	1	1	//홀리스프릿투구	
	8	19	0	7	1	1	1	1	//홀리스프릿갑옷	
	9	19	0	7	1	1	1	1	//홀리스프릿바지	
	10	19	0	7	1	1	1	1	//홀리스프릿장갑	
	11	19	0	7	1	1	1	1	//홀리스프릿부츠	
	7	41	0	7	1	1	1	1	//에이션트투구	
	8	41	0	7	1	1	1	1	//에이션트갑옷	
	9	41	0	7	1	1	1	1	//에이션트바지	
	10	41	0	7	1	1	1	1	//에이션트장갑	
	11	41	0	7	1	1	1	1	//에이션트부츠	
	7	27	0	7	1	1	1	1	//다크마스터투구	
	8	27	0	7	1	1	1	1	//다크마스터갑옷	
	9	27	0	7	1	1	1	1	//다크마스터바지	
	10	27	0	7	1	1	1	1	//다크마스터장갑	
	11	27	0	7	1	1	1	1	//다크마스터부츠	
	8	15	0	7	1	1	1	1	//아틀란스갑옷	
	9	15	0	7	1	1	1	1	//아틀란스바지	
	10	15	0	7	1	1	1	1	//아틀란스장갑	
	11	15	0	7	1	1	1	1	//아틀란스부츠	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
11	7	21	0	7	1	1	1	1	//그레이트드라곤투구	
	8	21	0	7	1	1	1	1	//그레이트드라곤갑옷	
	9	21	0	7	1	1	1	1	//그레이트드라곤바지	
	10	21	0	7	1	1	1	1	//그레이트드라곤장갑	
	11	21	0	7	1	1	1	1	//그레이트드라곤부츠	
	7	22	0	7	1	1	1	1	//블랙소울투구	
	8	22	0	7	1	1	1	1	//블랙소울갑옷	
	9	22	0	7	1	1	1	1	//블랙소울바지	
	10	22	0	7	1	1	1	1	//블랙소울장갑	
	11	22	0	7	1	1	1	1	//블랙소울부츠	
	7	24	0	7	1	1	1	1	//레드스프릿투구	
	8	24	0	7	1	1	1	1	//레드스프릿갑옷	
	9	24	0	7	1	1	1	1	//레드스프릿바지	
	10	24	0	7	1	1	1	1	//레드스프릿장갑	
	11	24	0	7	1	1	1	1	//레드스프릿부츠	
	7	42	0	7	1	1	1	1	//데모닉투구	
	8	42	0	7	1	1	1	1	//데모닉갑옷	
	9	42	0	7	1	1	1	1	//데모닉바지	
	10	42	0	7	1	1	1	1	//데모닉장갑	
	11	42	0	7	1	1	1	1	//데모닉부츠	
	8	20	0	7	1	1	1	1	//선더호크갑옷	
	9	20	0	7	1	1	1	1	//선더호크바지	
	10	20	0	7	1	1	1	1	//선더호크장갑	
	11	20	0	7	1	1	1	1	//선더호크부츠	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
12	12	30	0	0	0	0	0	0	//축복의보석묶음	
	12	31	0	0	0	0	0	0	//영혼의보석묶음	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
13	14	14	0	0	0	0	0	0	//영혼의보석	
	14	13	0	0	0	0	0	0	//축복의보석	
	14	16	0	0	0	0	0	0	//생명의보석	
	14	22	0	0	0	0	0	0	//창조의보석	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
14	13	14	0	0	0	0	0	0	//로크의깃털	
	13	14	1	1	0	0	0	0	//군주의문장	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
15	13	52	0	0	0	0	0	0	//콘도르의불꽃	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
16	13	53	0	0	0	0	0	0	//콘도르의깃털	
end										
17										
end										
18										
end										
19										
end										
20										
										
end										
21										
										
end										
22										
end										
23										
end										
24										
end										
25										
end										
26										
										
end										
27										
end										
28										
end										
29										
end										
end										
