///////////////////////////////////////////////////////////////////////////////////////////////																		
//	[ Text Version ]	0.0.0.7																
//	[ Test Sever ver ]	-																
//	[ Main Sever ver ]	-																
//	[ Athor ]	이준희																
//	[ Data ]	2010-02-17 06:58 PM																
//	[ 내용 ]	신규 리뉴얼 몬스터 스킬 추가																
///////////////////////////////////////////////////////////////////////////////////////////////																		
//Index 	Name	Target	ScopeT	ScopeAngle	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
0											
//아이다&크라이울프 공방전											
48	"병참장교-스킬02"	1	0	-1	3	300	61	-1	-1	-1	-1
49	"전투교관-스킬03"	1	1	-1	10	300	61	-1	-1	-1	-1
50	"기사단장-스킬04"	3	-1	-1	0	300	61	62	-1	-1	-1
51	"대마법사-불기둥"	3	0	-1	10	300	61	-1	-1	-1	-1
52	"대마법사-광역운석"	1	0	-1	10	300	61	59	-1	-1	-1
53	"암살단장-스킬06"	1	0	-1	10	300	61	65	-1	-1	-1
54	"기마단장-어스쉐이크"	1	0	-1	3	300	61	64	-1	-1	-1
55	"기마단장-물기"	3	-1	-1	0	300	61	62	-1	-1	-1
56	"기마단장-헤드혼"	3	-1	-1	0	300	61	66	59	-1	-1
57	"데슬러-블레이드문"	1	0	-1	10	300	61	-1	-1	-1	-1
58	"데슬러-스킬07"	1	1	-1	5	300	61	-1	-1	-1	-1
//59	"광폭화"	2	-1	-1	0	300	67	68	-1	-1	-1
60	"버몬트-스킬08"	1	0	-1	10	300	61	59	-1	-1	-1
61	"버몬트-스킬09"	1	0	-1	10	300	61	69	-1	-1	-1
62	"에르카느-스킬14"	1	0	-1	6	300	61	-1	-1	-1	-1
63	"에르카느-스킬15"	1	0	-1	3	300	61	64	-1	-1	-1
64	"가이온-블러드어택"	1	1	-1	3	300	61	70	-1	-1	-1
65	"가이온-기간틱스톰"	1	0	-1	5	300	61	72	-1	-1	-1
66	"가이온-플레임"	1	1	-1	5	300	61	73	-1	-1	-1
67	"가이온-일반"	3	-1	-1	0	300	71	-1	-1	-1	-1
//신규 리뉴얼 몬스터 스킬 추가_아이다											
68	"블러디골렘-스턴"	1	-1	-1	0	300	47	74	-1	-1	-1
69	"위치퀸 - 얼음"	1	-1	-1	0	300	47	9	5	-1	-1
//신규 리뉴얼 몬스터 스킬 추가_칸투르 폐허											
70	"버서커 - 스턴공"	1	-1	-1	0	300	47	74	6	-1	-1
71	"제노사이더-스턴"	1	-1	-1	0	300	47	74	7	-1	-1
//신규 리뉴얼 몬스터 스킬 추가_평온의늪											
72	"사피퀸 - 스턴방"	1	-1	-1	0	300	47	74	5	-1	-1
73	"아이스 네이핀-얼음"	1	-1	-1	0	300	47	9	7	-1	-1
74	"쉐도우마스터-스턴"	1	-1	-1	0	300	47	74	6	-1	-1
//신규 리뉴얼 몬스터 스킬 추가_라클리온											
75	"다크메머드-독방"	1	-1	-1	0	300	47	27	6	-1	-1
76	"다크자이언트-독공"	1	-1	-1	0	300	47	27	5	-1	-1
77	"다크아이언나이트-독"	1	-1	-1	0	300	47	74	27	-1	-1
//Index 	Name	Target	ScopeT	ScopeAngle	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
//보스 몬스터 스킬 추가_메두사											
78	"메두사-커스포이즌"	1	0	-1	10	300	75	-1	-1	-1	-1
79	"메두사-카오틱"	1	0	-1	10	300	76	77	-1	-1	-1
80	"메두사-기간틱"	1	0	-1	10	300	72	77	-1	-1	-1
81	"메두사-악령"	1	0	-1	10	300	25	8	-1	-1	-1
//아케론 보스 몬스터											
82	"샐러맨더_스킬타격1"	1	-1	-1	0	300	78	-1	-1	-1	-1
83	"샐러맨더_스킬타격2"	1	-1	-1	0	300	79	-1	-1	-1	-1
84	"샐러맨더-독"	1	-1	-1	0	300	80	81	-1	-1	-1
85	"운디네-스킬타격1"	1	-1	-1	0	300	82	-1	-1	-1	-1
86	"운디네-스킬타격2"	1	-1	-1	0	300	83	-1	-1	-1	-1
87	"운디네-얼음"	1	-1	-1	0	300	84	85	-1	-1	-1
88	"노움-스킬타격1"	1	-1	-1	0	300	86	-1	-1	-1	-1
89	"노움-스킬타격2"	1	-1	-1	0	300	87	-1	-1	-1	-1
90	"노움-스턴"	1	-1	-1	0	300	88	89	-1	-1	-1
91	"실피드-스킬타격1"	1	-1	-1	0	300	90	-1	-1	-1	-1
92	"실피드-스킬타격2"	1	-1	-1	0	300	91	-1	-1	-1	-1
93	"실피드-밀기"	1	-1	-1	0	300	92	93	-1	-1	-1
94	"힐라사-스킬타격1"	1	-1	-1	0	300	94	-1	-1	-1	-1
95	"힐라사-스킬타격2"	1	-1	-1	0	300	95	-1	-1	-1	-1
96	"힐라사-HP감소"	1	-1	-1	0	300	96	97	-1	-1	-1
//Index 	Name	Target	ScopeT	ScopeAngle	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
97	"로드실베스터-일반공격"	3	-1	-1	0	300	98	102	-1	-1	-1
98	"로드실베스터-바람회오리"	1	-1	-1	0	300	99	104	-1	-1	-1
99	"로드실베스터-바람의저주"	3	-1	-1	0	300	100	104	-1	-1	-1
100	"로드실베스터-바람의 부름(소환)"	2	-1	-1	0	300	101	103	-1	-1	-1
//Index 	Name	Target	ScopeT	ScopeAngle	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
101	"각성몬-멀티샷"	1	4	120	7	300	105	-1	-1	-1	-1
102	"각성몬-번개공격"	1	0	-1	7	300	106	-1	-1	-1	-1
103	"각성몬-불화살"	1	4	60	8	300	107	-1	-1	-1	-1
104	"각성몬-얼음도트"	1	0	-1	6	300	108	-1	-1	-1	-1
105	"각성몬-사라짐"	1	0	-1	0	300	109	-1	-1	-1	-1
//Index 	Name	Target	ScopeT	ScopeAngle	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
106	"코어마그리피-일반공격"	3	-1	-1	0	300	110	115	-1	-1	-1
107	"코어마그리피-회오리"	1	0	-1	8	300	111	117	-1	-1	-1
108	"코어마그리피-포효"	3	0	-1	5	300	112	116	-1	-1	-1
109	"코어마그리피-분신"	1	-1	-1	8	300	113	-1	-1	-1	-1
110	"코어마그리피-광폭화"	2	-1	-1	0	300	114	-1	-1	-1	-1
111	"코어마그리피-사라짐"	2	-1	-1	0	300	-1	-1	-1	-1	-1
//Index 	Name	Target	ScopeT	ScopeAngle	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
112	"일반공격"	3	0	-1	0	300	117	-1	-1	-1	-1
113	"지뢰폭발"	1	0	-1	9	6000	118	-1	-1	-1	-1
114	"휘두르기"	3	0	-1	9	3000	119	-1	-1	-1	-1
115	"군주의포효"	1	-1	-1	0	3000	120	-1	-1	-1	-1
//Index 	Name	Target	ScopeT	ScopeAngle	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
117	"닉스 - 일반공격"	1	-1	-1	7	300	122	-1	-1	-1	-1
118	"닉스 - 에너지구체"	1	-1	-1	7	300	123	-1	-1	-1	-1
119	"닉스 - 아이스레인"	1	0	-1	5	300	124	-1	-1	-1	-1
120	"닉스 - 얼음숨결"	1	-1	-1	0	300	125	-1	-1	-1	-1
121	"닉스 - 아이스붐"	1	-1	-1	0	300	126	-1	-1	-1	-1
122	"닉스 - 데블아이스"	1	-1	-1	0	300	127	-1	-1	-1	-1
123	"닉스 - 지식흡수"	1	-1	-1	0	300	-1	-1	-1	-1	-1
125	"Cent Fire Slash"	1	-1	0	3	300	128	-1	-1	-1	-1
126	"Cent Twister"		1	-1	0	6	300	129	-1	-1	-1	-1
128	"Cent Nova Beginning"	5	-1	-1	0	300	130	-1	-1	-1	-1
129	"Cent Nova"		1	-1	0	6	300	131	-1	-1	-1	-1
130	"Cent Fire Blood"	1	-1	0	3	300	132	-1	-1	-1	-1
131	"Cent Ice Blood"	1	-1	0	3	300	133	-1	-1	-1	-1
134	"Monster Skill Unit"	1	-1	2	0	300	134	-1	-1	-1	-1
135	"Monster Skill Unit"	1	-1	2	0	300	135	-1	-1	-1	-1
136	"Monster Skill Unit"	1	-1	1	6	300	136	-1	-1	-1	-1
137	"Monster Skill Unit"	1	-1	0	3	300	136	-1	-1	-1	-1
138	"Monster Skill Unit"	1	-1	0	6	300	137	-1	-1	-1	-1
end
