// EventItemBag 136									
//	[ Start  ] 	2015-09-23							
//	[ Latest ]	2015-09-23 10:59 AM							
//	[ Author ]	사재일							
//	[ Version ]	0.0.0.1							
//	[ Text ]	페리아 보스몬스터 아이템 드롭 설정							
//	[ Desc ]	최초작성							
//////////////////////////////////////////////////////////////////////////////////////									
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임									
//드롭가능맵 설정									
0									
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel					
	12	213	0	0	0	0	0	0	//안토니아스의 검
	12	214	0	0	0	0	0	0	//쿤둔의 봉인서
end									
//획득확률 :  50000/1000000									
50000									
//1차 마스터리 재료									
	13	351	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	352	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	353	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	354	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	359	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	360	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	361	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	362	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	363	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	364	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	365	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	366	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	371	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	372	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	373	0	0	0	0	0	0	//봉인된 궁극의 블러드엔젤 바지//
	13	374	0	0	0	0	0	0	//봉인된 궁극의 블러드엔젤 장갑//
	13	379	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 갑옷//
	13	380	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 투구//
	13	381	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 바지//
	13	382	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 장갑//
	13	387	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 갑옷//
	13	388	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 투구//
	13	389	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 바지//
	13	390	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 장갑//
	13	391	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 갑옷//
	13	392	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 투구//
	13	393	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 바지//
	13	394	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 부츠//
	13	399	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 갑옷//
	13	400	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 투구//
	13	401	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 바지//
	13	402	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 장갑//
//	13	367	0	0	0	0	0	0	//봉인된 엔요의 블러드엔젤 갑옷//
//	13	368	0	0	0	0	0	0	//봉인된 엔요의 블러드엔젤 투구//
//	13	369	0	0	0	0	0	0	//봉인된 엔요의 블러드엔젤 바지//
//	13	370	0	0	0	0	0	0	//봉인된 엔요의 블러드엔젤 장갑//
//	13	375	0	0	0	0	0	0	//봉인된 법마의 블러드엔젤 갑옷//
//	13	376	0	0	0	0	0	0	//봉인된 법마의 블러드엔젤 부츠//
//	13	377	0	0	0	0	0	0	//봉인된 법마의 블러드엔젤 바지//
//	13	378	0	0	0	0	0	0	//봉인된 법마의 블러드엔젤 장갑//
	13	407	0	0	0	0	0	0	//고대영웅의혼//
end									
//획득확률 :  300000/1000000									
400000									
//속성 에르텔류									
	12	221	0	0	0	0	0	0	//분노의 에르텔
	12	231	0	0	0	0	0	0	//가호의
	12	241	0	0	0	0	0	0	//고결한
	12	251	0	0	0	0	0	0	//신성의
end									
end									
