// Text Ver. 0.0.0.6																		
// Version 1.04  - T서버																		
// Version 1.04  - M서버																		
// 최종 작업자 - 김서영																		
// 최종 작업일 -2008-02-28  2:07:32 PM																		
// 내용: 08년 발렌타인 이벤트(eventitembag26) 국내버전 리뉴얼																		
																		
//드롭가능맵 설정																		
0																		
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel														
	11	37	6	8	0	1	1	0	//발리언트부츠									
	7	38	6	8	0	1	1	0	//글로리어스마스크									
	8	38	6	8	0	1	1	0	//글로리어스갑옷									
	9	38	6	8	0	1	1	0	//글로리어스바지									
	10	38	6	8	0	1	1	0	//글로리어스장갑									
	11	38	6	8	0	1	1	0	//글로리어스부츠									
	10	21	5	6	0	1	1	0	//그레이트드라곤장갑									
	11	21	5	6	0	1	1	0	//그레이트드라곤부츠									
	10	22	5	6	0	1	1	0	//블랙소울장갑									
	11	22	5	6	0	1	1	0	//블랙소울부츠									
//엑설런트 무기류																		
	0	16	0	0	1	1	1	2	//파괴의검									
	2	5	0	0	1	1	1	2	//크리스탈검									
	0	31	0	0	1	1	1	2	//데스브로드									
	4	14	0	0	1	1	1	2	//아쿠아골드석궁									
	4	16	0	0	1	1	1	2	//세인트크로스석궁									
	5	8	0	0	1	1	1	2	//파멸의지팡이									
	2	10	0	0	1	1	1	2	//그레이트셉터									
//엑설런트 방어구류																		
	7	16	0	0	0	1	1	2	//블랙드라곤투구									
	8	16	0	0	0	1	1	2	//블랙드라곤갑옷									
	9	16	0	0	0	1	1	2	//블랙드라곤바지									
	10	16	0	0	0	1	1	2	//블랙드라곤장갑									
	11	16	0	0	0	1	1	2	//블랙드라곤부츠									
	7	18	0	0	0	1	1	2	//그랜드소울헬멧									
	8	18	0	0	0	1	1	2	//그랜드소울갑옷									
	9	18	0	0	0	1	1	2	//그랜드소울바지									
	10	18	0	0	0	1	1	2	//그랜드소울장갑									
	11	18	0	0	0	1	1	2	//그랜드소울부츠									
	7	19	0	0	0	1	1	2	//홀리스프릿헬멧									
	8	19	0	0	0	1	1	2	//홀리스프릿갑옷									
	9	19	0	0	0	1	1	2	//홀리스프릿바지									
	10	19	0	0	0	1	1	2	//홀리스프릿장갑									
	11	19	0	0	0	1	1	2	//홀리스프릿부츠									
	7	27	0	0	0	1	1	2	//다크브리즌마스크									
	8	27	0	0	0	1	1	2	//다크브리즌갑옷									
	9	27	0	0	0	1	1	2	//다크브리즌바지									
	10	27	0	0	0	1	1	2	//다크브리즌장갑									
	11	27	0	0	0	1	1	2	//다크브리즌부츠									
	10	93	0	0	0	1	1	2	//다크브리즌장갑									
	11	93	0	0	0	1	1	2	//다크브리즌부츠									
//엑설런트 방패류																		
	3	14	0	0	1	1	1	2	//드라곤방패									
	6	30	0	0	1	1	1	2	//드라곤방패									
	6	13	0	0	1	0	0	2	//드라곤방패									
	6	14	0	0	1	0	0	2	//전설의방패									
	6	16	0	0	1	0	0	2	//엘리멘탈방패									
	6	15	0	0	1	0	0	2	//그랜드소울방패									
//엑설런트 액세서리류																		
	13	8	0	0	0	0	0	2	//얼음의반지									
	13	9	0	0	0	0	0	2	//독의반지									
	13	21	0	0	0	0	0	2	//불의반지									
	13	12	0	0	0	0	0	2	//번개의목걸이									
	13	13	0	0	0	0	0	2	//불의목걸이									
	13	25	0	0	0	0	0	2	//얼음의목걸이									
//보석류																		
	14	13	0	0	0	0	0	0	//축복의보석									
	14	14	0	0	0	0	0	0	//영혼의보석									
	14	16	0	0	0	0	0	0	//생명의보석									
	14	22	0	0	0	0	0	0	//창조의보석									
	12	15	0	0	0	0	0	0	//혼돈의보석									
	14	42	0	0	0	0	0	0	//조화의보석									
//입장권류																		
	14	19	5	6	0	0	0	0	//데빌스퀘어초대권									
	13	18	6	7	0	0	0	0	//투명망토									
	14	28	7	7	0	0	0	0	//잃어버린지도									
	13	51	4	5	0	0	0	0	//피의두루마리									
end																		
