// EventItemBag 173											
//	[ Start  ] 	2016-07-27									
//	[ Latest ]	2016-07-27 12:26 PM									
//	[ Author ]	박혜진									
//	[ Version ]	0.0.0.1									
//	[ Text ]	닉시스 호수 보스몬스터(닉스) 아이템 드롭 설정									
//	[ Desc ]	최초작성									
//////////////////////////////////////////////////////////////////////////////////////											
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임											
//드롭가능맵 설정											
0											
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel							
	12	213	0	0	0	0	0	0	0	0	//안토니아스의 검
	12	214	0	0	0	0	0	0	0	0	//쿤둔의 봉인서
end											
//획득확률 :  2200/1000000											
2200											
//1차 마스터리 재료											
	13	351	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	352	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	353	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	354	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	359	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	360	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	361	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	362	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	363	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	364	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	365	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	366	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	371	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	372	0	0	0	0	0	0	0	0	//봉인된 분노의 블러드엔젤 갑옷//
	13	373	0	0	0	0	0	0	0	0	//봉인된 궁극의 블러드엔젤 바지//
	13	374	0	0	0	0	0	0	0	0	//봉인된 궁극의 블러드엔젤 장갑//
	13	379	0	0	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 갑옷//
	13	380	0	0	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 투구//
	13	381	0	0	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 바지//
	13	382	0	0	0	0	0	0	0	0	//봉인된 정복의 블러드엔젤 장갑//
	13	387	0	0	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 갑옷//
	13	388	0	0	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 투구//
	13	389	0	0	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 바지//
	13	390	0	0	0	0	0	0	0	0	//봉인된 명예의 블러드엔젤 장갑//
	13	391	0	0	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 갑옷//
	13	392	0	0	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 투구//
	13	393	0	0	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 바지//
	13	394	0	0	0	0	0	0	0	0	//봉인된 파괴의 블러드엔젤 부츠//
	13	399	0	0	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 갑옷//
	13	400	0	0	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 투구//
	13	401	0	0	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 바지//
	13	402	0	0	0	0	0	0	0	0	//봉인된 집념의 블러드엔젤 장갑//
	13	367	0	0	0	0	0	0	0	0	//봉인된 엔요의 블러드엔젤 갑옷//
	13	368	0	0	0	0	0	0	0	0	//봉인된 엔요의 블러드엔젤 투구//
	13	369	0	0	0	0	0	0	0	0	//봉인된 엔요의 블러드엔젤 바지//
	13	370	0	0	0	0	0	0	0	0	//봉인된 엔요의 블러드엔젤 장갑//
	13	375	0	0	0	0	0	0	0	0	//봉인된 법마의 블러드엔젤 갑옷//
	13	376	0	0	0	0	0	0	0	0	//봉인된 법마의 블러드엔젤 부츠//
	13	377	0	0	0	0	0	0	0	0	//봉인된 법마의 블러드엔젤 바지//
	13	378	0	0	0	0	0	0	0	0	//봉인된 법마의 블러드엔젤 장갑//
end											
//획득확률 :  2700/1000000											
2700											
//블러드엔젤의 혼											
	13	407	0	0	0	0	0	0	0	0	//블러드엔젤의혼
end											
//획득확률 :  74000/1000000											
74000											
//속성 에르텔류 3~ 6											
	12	221	3	6	0	0	0	0	0	0	//분노의 에르텔
	12	231	3	6	0	0	0	0	0	0	//가호의
	12	241	3	6	0	0	0	0	0	0	//고결한
	12	251	3	6	0	0	0	0	0	0	//신성의
end											
//획득확률 : 45000/1000000											
45000											
//정령의 가호											
	14	320	0	0	0	0	0	0	0	0	//정령의 가호
end											
//획득확률 : 45000/1000000											
45000											
//엘리멘탈룬 10개											
	12	288	0	0	0	0	0	0	10	0	//엘리멘탈룬 10개
end											
//획득확률 : 90000/1000000											
90000											
//엘리멘탈룬 5개											
	12	288	0	0	0	0	0	0	5	0	//엘리멘탈룬 5개
end											
//획득확률 : 225000/1000000											
225000											
//엘리멘탈룬 2개											
	12	288	0	0	0	0	0	0	2	0	//엘리멘탈룬 2개
end											
//획득확률 : 445000/1000000											
445000											
//속성 에르텔류 1											
	12	221	1	1	0	0	0	0	0	0	//분노의 에르텔
	12	231	1	1	0	0	0	0	0	0	//가호의
	12	241	1	1	0	0	0	0	0	0	//고결한
	12	251	1	1	0	0	0	0	0	0	//신성의
end											
end											
