//////////////////////////////////////////////////////////////////////////////////////											
// EventItemBag 163- [이벤트]상급상자(14/ 376)					기본	기본	총합계				
//	[ Start  ] 	2016-05-20			1000000	0	100%				
//	[ Latest ]										
//	[ Author ]	최유진									
//	[ Version ]	0.0.0.1									
//	[ Text ]	폭탄찾기(상급상자)									
//	[ Desc ]	최초 작성									
//////////////////////////////////////////////////////////////////////////////////////											
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임											
//드롭가능맵 설정											
0											
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel							
	9	18	0	0	0	1	1	3	0	0	//그랜드소울바지
	10	18	0	0	0	1	1	3	0	0	//그랜드소울장갑
	11	18	0	0	0	1	1	3	0	0	//그랜드소울부츠
	7	26	0	0	0	1	1	3	0	0	//다크소울마스크
	8	26	0	0	0	1	1	3	0	0	//다크소울갑옷
	9	26	0	0	0	1	1	3	0	0	//다크소울바지
	10	26	0	0	0	1	1	3	0	0	//다크소울장갑
	11	26	0	0	0	1	1	3	0	0	//다크소울부츠
	7	36	0	0	0	1	1	3	0	0	//아이리스헬멧
	8	36	0	0	0	1	1	3	0	0	//아이리스갑옷
	9	36	0	0	0	1	1	3	0	0	//아이리스바지
	10	36	0	0	0	1	1	3	0	0	//아이리스장갑
	11	36	0	0	0	1	1	3	0	0	//아이리스부츠
	7	41	0	0	0	1	1	3	0	0	//에이션트헬멧
	8	41	0	0	0	1	1	3	0	0	//에이션트갑옷
	9	41	0	0	0	1	1	3	0	0	//에이션트바지
	10	41	0	0	0	1	1	3	0	0	//에이션트장갑
	11	41	0	0	0	1	1	3	0	0	//에이션트부츠
	7	60	0	0	0	1	1	3	0	0	//스톰자하드투구
	8	60	0	0	0	1	1	3	0	0	//스톰자하드갑옷
	9	60	0	0	0	1	1	3	0	0	//스톰자하드바지
	11	60	0	0	0	1	1	3	0	0	//스톰자하드부츠
end											
//획득확률 : 80000/1000000											
80000											
//엑설런트 무기류											
	0	16	0	0	1	1	1	3	0	6	//파괴의검
	0	31	0	0	1	1	1	3	0	6	//데스브로드
	0	17	0	0	1	1	1	3	0	6	//다크브레이커
	0	33	0	0	1	1	1	3	0	6	//홀리스톰클로
	0	34	0	0	1	1	1	3	0	6	//피어싱블레이드글러브
	2	10	0	0	1	1	1	3	0	6	//그레이트셉터
	2	11	0	0	1	1	1	3	0	6	//로드셉터
	2	1	0	0	1	1	1	3	0	6	//모닝스타
	3	10	0	0	1	1	1	3	0	6	//드라곤스피어
	4	17	0	0	1	1	1	3	0	6	//홀리사이트보우
	4	22	0	0	1	1	1	3	0	6	//알바트로스보우
	5	8	0	0	1	1	1	3	0	6	//파멸의지팡이
	5	9	0	0	1	1	1	3	0	6	//드레곤소울지팡이
	5	17	0	0	1	1	1	3	0	6	//에이션트스틱
	5	18	0	0	1	1	1	3	0	6	//데모닉스틱
end											
//획득확률 : 50000/1000000											
50000											
// 펜타그램(일반)											
	12	202	0	0	0	0	0	0	0	6	//로랜시아 기사단 철벽방패
	12	203	0	0	0	0	0	0	0	6	//마력깃든 기사단 철벽방패
	12	204	0	0	0	0	0	0	0	6	//영웅의 비약
	12	205	0	0	0	0	0	0	0	6	//용맹스런 영웅의 비약
	12	206	0	0	0	0	0	0	0	6	//검투사의 단도
	12	207	0	0	0	0	0	0	0	6	//무자비한 검투사의 단도
	12	217	0	0	0	0	0	0	0	6	//사려깊은 현자의구슬
end											
//획득확률 : 100000/1000000											
100000											
//빛의축복(하급)											
	14	263	0	0	0	0	0	0	0	0	//빛의축복(하급)
end											
//획득확률 : 110000/1000000											
110000											
//엘리트물약(10)											
	14	70	0	0	0	0	0	0	3	0	//엘리트치료물약(10)
	14	71	0	0	0	0	0	0	3	0	//엘리트마나물약(10)
end											
//획득확률 : 270000/1000000											
270000											
//버프아이템(5)											
	14	46	0	0	0	0	0	0	3	0	//잭오랜턴의축복(5)
	14	47	0	0	0	0	0	0	3	0	//잭오랜턴의분노(5)
end											
//획득확률 : 40000/1000000											
40000											
//디노란트의뿔											
	13	3	0	0	0	0	0	0	0	0	//디노란트의뿔
end											
//획득확률 : 10000/1000000											
10000											
//행운의 부적											
	14	53	0	0	0	0	0	0	3	0	//행운의 부적+10% (내구도10)
end											
end											
