0											
//id	index	u1	class	point	max	u4	r1	r2	skill	u5	
56	89	1	2	1	20	3	356	0	360	9.809089
57	90	1	2	1	20	3	0	0	361	3.082857
58	92	1	2	1	20	0	359	0	362	8.407791
59	93	1	2	1	20	0	360	0	363	9.809089
60	94	1	2	1	20	0	361	0	364	4.203895
61	96	1	2	1	20	3	0	0	366	5.324934
62	97	1	2	1	20	0	0	0	367	5.324934
63	98	1	2	1	20	3	0	0	368	5.324934
64	99	1	2	1	20	4	0	0	628	3.082857
65	100	1	2	1	20	0	366	0	369	5.324934
66	101	1	2	1	20	0	0	0	630	3.082857
67	102	1	2	1	20	0	368	0	372	5.324934
68	104	1	2	1	20	3	0	0	370	5.324934
69	107	1	2	1	20	0	628	0	629	4.203895
70	108	1	2	1	20	0	370	0	371	5.324934
71	1	2	0	1	20	4	0	0	300	5.184804
72	4	2	0	1	20	0	0	0	301	1.681558
73	6	2	0	1	20	3	0	0	302	1.821688
74	8	2	0	1	20	3	0	0	303	9.809089
75	9	2	0	1	20	4	300	0	305	2.382207
76	10	2	0	1	20	0	302	0	306	1.401298
77	12	2	0	1	20	3	303	0	307	1.401298
78	14	2	0	1	20	3	0	0	309	2.242078
79	15	2	0	1	10	0	0	0	746	2.270104
80	16	2	0	1	20	0	307	0	310	1.401298
81	17	2	0	1	20	0	305	0	312	2.382207
82	18	2	0	1	20	0	309	0	313	1.401298
83	23	2	0	1	20	1	0	0	315	4.203895
84	24	2	0	1	20	0	315	0	316	5.324934
85	25	2	0	1	20	0	0	0	317	5.605194
86	26	2	0	1	20	0	0	0	318	5.605194
87	27	2	0	1	20	0	0	0	319	5.605194
88	28	2	0	1	20	0	0	0	320	5.605194
89	30	2	0	1	20	3	0	0	375	2.382207
90	32	2	0	1	20	3	0	0	634	2.802597
91	34	2	0	1	20	0	375	0	377	2.382207
92	35	2	0	1	20	0	0	0	637	4.904545
93	36	2	0	1	20	0	634	0	636	5.465064
94	37	2	1	1	20	0	0	0	325	1.821688
95	41	2	1	1	20	3	0	0	378	2.382207
96	42	2	1	1	20	3	0	0	379	5.605194
97	43	2	1	1	20	3	0	0	380	1.401298
98	45	2	1	1	20	0	378	0	381	5.605194
99	46	2	1	1	20	0	379	0	382	2.382207
100	47	2	1	1	20	0	380	0	383	1.401298
101	49	2	1	1	20	1	0	0	385	5.605194
102	50	2	1	1	20	0	385	0	386	3.082857
103	51	2	1	1	20	3	0	0	334	1.261169
104	52	2	1	1	20	0	0	0	387	2.382207
105	54	2	1	1	20	4	0	0	388	5.605194
106	55	2	1	1	20	3	334	0	338	1.261169
107	56	2	1	1	20	3	0	0	389	5.605194
108	57	2	1	1	20	0	0	0	390	5.605194
109	59	2	1	1	20	0	338	0	341	1.121039
110	60	2	1	1	20	0	389	0	391	2.382207
111	62	2	1	1	20	0	388	0	392	2.382207
112	63	2	1	1	20	0	0	0	743	6.025583
113	66	2	1	10	10	3	0	0	495	3.643376
114	69	2	1	10	10	0	0	0	642	0
115	70	2	1	1	20	0	495	0	497	5.605194
116	73	2	2	1	20	0	0	0	347	1.961818
117	77	2	2	1	20	3	0	0	397	3.082857
118	78	2	2	1	20	3	0	0	398	5.885454
119	79	2	2	1	20	3	0	0	399	1.401298
120	81	2	2	1	10	0	397	0	400	3.222986
121	82	2	2	1	20	0	398	0	401	5.885454
122	83	2	2	1	20	0	399	0	402	2.382207
123	85	2	2	1	20	3	0	0	403	9.809089
124	86	2	2	1	20	0	0	0	357	2.522337
125	87	2	2	1	20	0	0	0	358	1.541428
126	88	2	2	1	20	3	0	0	359	8.407791
127	89	2	2	1	20	3	403	0	404	1.401298
128	90	2	2	1	20	3	0	0	405	3.082857
129	92	2	2	1	20	0	359	0	362	8.407791
130	93	2	2	1	20	0	404	0	406	9.809089
131	94	2	2	1	20	0	405	0	407	4.203895
132	96	2	2	1	20	3	0	0	366	5.324934
133	97	2	2	1	20	0	0	0	367	5.324934
134	98	2	2	1	20	3	0	0	368	5.324934
135	99	2	2	1	20	4	0	0	639	3.082857
136	100	2	2	1	20	0	366	0	369	5.324934
137	101	2	2	1	20	0	0	0	641	3.082857
138	102	2	2	1	20	0	368	0	372	5.324934
139	104	2	2	1	20	3	0	0	370	5.324934
140	107	2	2	1	20	0	639	0	640	4.203895
141	108	2	2	1	20	0	370	0	371	5.324934
142	1	4	0	1	20	4	0	0	300	5.184804
143	4	4	0	1	20	0	0	0	301	1.681558
144	6	4	0	1	20	3	0	0	302	1.821688
145	8	4	0	1	20	3	0	0	303	9.809089
146	9	4	0	1	20	4	300	0	305	2.382207
147	10	4	0	1	20	0	302	0	306	1.401298
148	12	4	0	1	20	3	303	0	307	1.401298
149	14	4	0	1	20	3	0	0	309	2.242078
150	15	4	0	1	10	0	0	0	746	2.270104
151	16	4	0	1	20	0	307	0	310	1.401298
152	17	4	0	1	20	0	305	0	312	2.382207
153	18	4	0	1	20	0	309	0	313	1.401298
154	23	4	0	1	20	1	0	0	315	4.203895
155	24	4	0	1	20	0	315	0	316	5.324934
156	25	4	0	1	20	0	0	0	317	5.605194
157	26	4	0	1	20	0	0	0	318	5.605194
158	27	4	0	1	20	0	0	0	319	5.605194
159	28	4	0	1	20	0	0	0	320	5.605194
160	30	4	0	1	20	3	0	0	410	2.382207
161	32	4	0	1	20	3	0	0	643	2.802597
162	34	4	0	1	20	0	410	0	412	2.382207
163	35	4	0	1	20	0	0	0	646	4.904545
164	36	4	0	1	20	0	643	0	645	5.465064
165	37	4	1	1	20	0	0	0	325	1.821688
166	41	4	1	1	20	0	0	0	413	3.082857
167	43	4	1	1	20	3	0	0	414	5.605194
168	44	4	1	1	20	3	0	0	415	2.242078
169	45	4	1	1	20	0	0	0	416	2.382207
170	46	4	1	1	20	4	0	0	417	3.082857
171	47	4	1	10	10	0	414	0	418	0
172	48	4	1	1	20	0	415	0	419	2.242078
173	49	4	1	1	20	3	0	0	420	3.082857
174	51	4	1	1	20	0	0	0	421	3.082857
175	52	4	1	1	20	3	0	0	334	1.261169
176	53	4	1	1	20	0	420	0	422	3.082857
177	54	4	1	1	20	3	417	0	423	3.082857
178	55	4	1	1	20	0	0	0	424	3.082857
179	56	4	1	1	20	3	334	0	338	1.261169
180	58	4	1	10	10	0	423	0	425	0
181	59	4	1	1	20	0	0	0	411	3.082857
182	60	4	1	1	20	0	338	0	341	1.121039
183	61	4	1	10	10	3	0	0	426	0
184	63	4	1	1	20	0	0	0	743	6.025583
185	64	4	1	1	20	3	0	0	428	2.242078
186	65	4	1	1	20	0	426	0	429	3.082857
187	66	4	1	10	10	3	0	0	430	0
188	67	4	1	10	10	3	0	0	427	3.783506
189	68	4	1	10	10	0	428	0	432	0
190	69	4	1	10	10	0	0	0	651	0
191	70	4	1	1	20	0	430	0	433	1.401298
192	71	4	1	1	20	0	427	0	434	5.605194
193	72	4	1	10	10	0	0	0	652	0
194	73	4	2	1	20	0	0	0	347	1.961818
195	77	4	2	1	20	3	0	0	435	4.203895
196	78	4	2	1	20	3	0	0	436	5.605194
197	79	4	2	1	20	3	0	0	437	1.401298
198	81	4	2	1	10	0	435	0	438	3.222986
199	82	4	2	1	20	0	436	0	439	7.006492
200	83	4	2	1	20	0	437	0	440	2.101948
201	86	4	2	1	20	0	0	0	357	2.522337
202	87	4	2	1	20	0	0	0	358	1.541428
203	88	4	2	1	20	3	0	0	359	8.407791
204	89	4	2	1	20	0	0	0	441	1.401298
205	90	4	2	1	20	3	0	0	442	3.082857
206	92	4	2	1	20	0	359	0	362	8.407791
207	94	4	2	1	20	0	442	0	443	4.203895
208	96	4	2	1	20	3	0	0	366	5.324934
209	97	4	2	1	20	0	0	0	367	5.324934
210	98	4	2	1	20	3	0	0	368	5.324934
211	99	4	2	1	20	4	0	0	648	3.082857
212	100	4	2	1	20	0	366	0	369	5.324934
213	101	4	2	1	20	0	0	0	650	3.082857
214	102	4	2	1	20	0	368	0	372	5.324934
215	104	4	2	1	20	3	0	0	370	5.324934
216	107	4	2	1	20	0	648	0	649	4.203895
217	108	4	2	1	20	0	370	0	371	5.324934
218	1	8	0	1	20	4	0	0	300	5.184804
219	4	8	0	1	20	0	0	0	301	1.681558
220	6	8	0	1	20	3	0	0	302	1.821688
221	8	8	0	1	20	3	0	0	303	9.809089
222	9	8	0	1	20	4	300	0	305	2.382207
223	10	8	0	1	20	0	302	0	306	1.401298
224	12	8	0	1	20	3	303	0	307	1.401298
225	14	8	0	1	20	3	0	0	309	2.242078
226	15	8	0	1	10	0	0	0	746	2.270104
227	16	8	0	1	20	0	307	0	310	1.401298
228	17	8	0	1	20	0	305	0	312	2.382207
229	18	8	0	1	20	0	309	0	313	1.401298
230	23	8	0	1	20	1	0	0	315	4.203895
231	24	8	0	1	20	0	315	0	316	5.324934
232	25	8	0	1	20	0	0	0	317	5.605194
233	26	8	0	1	20	0	0	0	318	5.605194
234	27	8	0	1	20	0	0	0	319	5.605194
235	28	8	0	1	20	0	0	0	320	5.605194
236	30	8	0	1	20	3	0	0	446	2.382207
237	34	8	0	1	20	0	446	0	447	2.382207
238	35	8	0	1	20	0	0	0	656	4.904545
239	37	8	1	1	20	0	0	0	325	1.821688
240	41	8	1	1	20	0	0	0	774	4.203895
241	42	8	1	1	20	0	0	0	775	4.203895
242	43	8	1	1	20	3	0	0	776	4.203895
243	45	8	1	1	20	0	0	0	455	3.082857
244	47	8	1	1	20	3	776	0	777	3.082857
245	48	8	1	1	20	0	0	0	454	1.401298
246	49	8	1	1	20	0	0	0	456	3.082857
247	51	8	1	1	20	0	777	0	778	3.082857
248	52	8	1	1	20	3	0	0	334	1.261169
249	53	8	1	1	20	0	0	0	457	3.082857
250	55	8	1	1	20	0	0	0	458	3.082857
251	56	8	1	1	20	3	334	0	338	1.261169
252	57	8	1	1	20	3	0	0	459	4.203895
253	58	8	1	1	20	3	0	0	460	4.203895
254	60	8	1	1	20	0	338	0	341	1.121039
255	61	8	1	1	20	0	459	0	772	2.480298
256	62	8	1	1	20	0	460	0	773	2.480298
257	64	8	1	1	20	0	0	0	743	6.025583
258	66	8	1	10	10	0	0	0	461	0
259	73	8	2	1	20	0	0	0	347	1.961818
260	77	8	2	1	20	3	0	0	465	3.082857
261	78	8	2	1	20	3	0	0	466	5.605194
262	81	8	2	1	20	0	465	0	467	7.006492
263	82	8	2	1	10	0	466	0	468	3.222986
264	87	8	2	1	20	0	0	0	358	1.541428
265	89	8	2	1	20	3	0	0	469	2.410233
266	90	8	2	1	20	3	0	0	770	2.438259
267	86	8	2	1	20	0	0	0	357	2.522337
268	88	8	2	1	20	3	0	0	359	8.407791
269	93	8	2	1	10	0	469	0	470	2.424246
270	94	8	2	1	20	0	770	0	771	2.452272
271	91	8	2	1	20	3	0	0	471	3.082857
272	92	8	2	1	20	0	359	0	362	8.407791
273	95	8	2	1	20	0	471	0	473	4.203895
274	96	8	2	1	20	3	0	0	366	5.324934
275	97	8	2	1	20	0	0	0	367	5.324934
276	98	8	2	1	20	3	0	0	368	5.324934
277	99	8	2	1	20	4	0	0	658	3.082857
278	100	8	2	1	20	0	366	0	369	5.324934
279	101	8	2	1	20	0	0	0	660	3.082857
280	102	8	2	1	20	0	368	0	372	5.324934
281	104	8	2	1	20	3	0	0	370	5.324934
282	107	8	2	1	20	0	658	0	659	4.203895
283	108	8	2	1	20	0	370	0	371	5.324934
284	1	16	0	1	20	4	0	0	300	5.184804
285	4	16	0	1	20	0	0	0	301	1.681558
286	6	16	0	1	20	3	0	0	302	1.821688
287	8	16	0	1	20	3	0	0	303	9.809089
288	9	16	0	1	20	4	300	0	305	2.382207
289	10	16	0	1	20	0	302	0	306	1.401298
290	12	16	0	1	20	3	303	0	307	1.401298
291	14	16	0	1	20	3	0	0	309	2.242078
292	15	16	0	1	10	0	0	0	746	2.270104
293	16	16	0	1	20	0	307	0	310	1.401298
294	17	16	0	1	20	0	305	0	312	2.382207
295	18	16	0	1	20	0	309	0	313	1.401298
296	23	16	0	1	20	1	0	0	315	4.203895
297	24	16	0	1	20	0	315	0	316	5.324934
298	25	16	0	1	20	0	0	0	317	5.605194
299	26	16	0	1	20	0	0	0	318	5.605194
300	27	16	0	1	20	0	0	0	319	5.605194
301	28	16	0	1	20	0	0	0	320	5.605194
302	30	16	0	1	20	3	0	0	476	2.382207
303	31	16	0	1	20	0	0	0	664	2.802597
304	32	16	0	1	20	3	0	0	663	2.802597
305	34	16	0	1	20	0	476	0	478	2.382207
306	35	16	0	1	20	0	0	0	666	4.904545
307	36	16	0	1	20	0	663	0	665	5.465064
308	37	16	1	1	20	0	0	0	325	1.821688
309	41	16	1	1	20	0	0	0	479	5.605194
310	42	16	1	1	20	3	0	0	480	5.605194
311	43	16	1	1	20	7	0	0	481	5.605194
312	44	16	1	1	20	3	0	0	482	2.382207
313	45	16	1	1	20	3	0	0	483	2.382207
314	46	16	1	1	20	0	480	0	484	2.382207
315	48	16	1	1	20	0	481	482	485	3.082857
316	49	16	1	1	20	0	483	0	486	5.605194
317	50	16	1	1	20	1	0	0	487	5.605194
318	51	16	1	1	20	0	487	0	488	3.082857
319	52	16	1	1	20	3	0	0	334	1.261169
320	54	16	1	1	20	4	0	0	490	4.203895
321	55	16	1	1	20	0	0	0	489	5.605194
322	56	16	1	1	20	3	334	0	338	1.261169
323	57	16	1	1	20	0	0	0	492	5.605194
324	60	16	1	1	20	0	338	0	341	1.121039
325	62	16	1	1	20	0	490	0	493	9.809089
326	63	16	1	1	20	0	0	0	496	4.203895
327	64	16	1	1	20	0	0	0	743	6.025583
328	66	16	1	10	10	3	0	0	344	3.503246
329	67	16	1	10	10	3	0	0	495	3.643376
330	70	16	1	1	20	0	344	0	346	7.006492
331	71	16	1	1	20	0	495	0	497	5.605194
332	73	16	2	1	20	0	0	0	347	1.961818
333	77	16	2	1	20	3	0	0	348	5.885454
334	78	16	2	1	20	3	0	0	349	3.082857
335	79	16	2	1	20	3	0	0	397	3.082857
336	80	16	2	1	20	3	0	0	398	5.885454
337	81	16	2	1	20	0	348	0	352	5.745324
338	82	16	2	1	10	0	349	0	353	3.222986
339	83	16	2	1	10	0	397	0	400	3.222986
340	84	16	2	1	20	0	398	0	401	5.885454
341	86	16	2	1	20	0	0	0	357	2.522337
342	87	16	2	1	20	0	0	0	358	1.541428
343	88	16	2	1	20	3	0	0	359	8.407791
344	89	16	2	1	20	3	0	0	405	3.082857
345	90	16	2	1	20	3	0	0	361	3.082857
346	92	16	2	1	20	0	359	0	362	8.407791
347	93	16	2	1	20	0	405	0	407	4.203895
348	94	16	2	1	20	0	361	0	364	4.203895
349	96	16	2	1	20	3	0	0	366	5.324934
350	97	16	2	1	20	0	0	0	367	5.324934
351	98	16	2	1	20	3	0	0	368	5.324934
352	99	16	2	1	20	4	0	0	668	3.082857
353	100	16	2	1	20	0	366	0	369	5.324934
354	102	16	2	1	20	0	368	0	372	5.324934
355	104	16	2	1	20	3	0	0	370	5.324934
356	107	16	2	1	20	0	668	0	669	4.203895
357	108	16	2	1	20	0	370	0	371	5.324934
358	1	32	0	1	20	4	0	0	300	5.184804
359	4	32	0	1	20	0	0	0	301	1.681558
360	6	32	0	1	20	3	0	0	302	1.821688
361	8	32	0	1	20	3	0	0	303	9.809089
362	9	32	0	1	20	4	300	0	305	2.382207
363	10	32	0	1	20	0	302	0	306	1.401298
364	12	32	0	1	20	3	303	0	307	1.401298
365	14	32	0	1	20	3	0	0	309	2.242078
366	15	32	0	1	10	0	0	0	746	2.270104
367	16	32	0	1	20	0	307	0	310	1.401298
368	17	32	0	1	20	0	305	0	312	2.382207
369	18	32	0	1	20	0	309	0	313	1.401298
370	21	32	0	1	20	0	0	0	506	5.605194
371	23	32	0	1	20	1	0	0	315	4.203895
372	24	32	0	1	20	0	315	0	316	5.324934
373	25	32	0	1	20	0	0	0	317	5.605194
374	26	32	0	1	20	0	0	0	318	5.605194
375	27	32	0	1	20	0	0	0	319	5.605194
376	28	32	0	1	20	0	0	0	320	5.605194
377	30	32	0	1	20	3	0	0	505	2.382207
378	32	32	0	1	20	3	0	0	670	2.802597
379	34	32	0	1	20	0	505	0	507	2.382207
380	35	32	0	1	20	0	0	0	673	4.904545
381	36	32	0	1	20	0	670	0	672	5.465064
382	37	32	1	1	20	0	0	0	325	1.821688
383	41	32	1	1	20	0	0	0	508	5.605194
384	42	32	1	1	20	0	0	0	509	5.605194
385	43	32	1	1	20	3	0	0	510	2.382207
386	46	32	1	1	20	3	0	0	511	4.203895
387	47	32	1	1	20	0	510	0	512	5.605194
388	48	32	1	1	20	0	0	0	513	3.082857
389	50	32	1	1	20	3	511	0	515	1.401298
390	52	32	1	1	20	3	0	0	334	1.261169
391	54	32	1	1	20	4	515	0	517	9.809089
392	55	32	1	1	20	3	0	0	518	3.082857
393	56	32	1	1	20	3	334	0	338	1.261169
394	57	32	1	1	20	0	0	0	519	4.203895
395	59	32	1	1	20	0	518	0	520	7.006492
396	60	32	1	1	20	0	338	0	341	1.121039
397	62	32	1	1	20	0	517	0	522	1.401298
398	63	32	1	1	20	0	0	0	523	3.082857
399	64	32	1	1	20	0	0	0	743	6.025583
400	73	32	2	1	20	0	0	0	347	1.961818
401	77	32	2	1	20	3	0	0	526	4.203895
402	78	32	2	1	20	3	0	0	527	3.082857
403	79	32	2	1	20	3	0	0	528	1.401298
404	80	32	2	1	20	3	0	0	529	4.203895
405	81	32	2	1	20	3	526	0	530	9.809089
406	82	32	2	1	20	0	527	0	531	7.006492
407	83	32	2	1	20	0	528	0	532	2.382207
408	84	32	2	1	10	0	529	0	533	2.802597
409	85	32	2	1	20	0	530	0	534	1.401298
410	86	32	2	1	20	0	0	0	357	2.522337
411	87	32	2	1	20	0	0	0	358	1.541428
412	88	32	2	1	20	3	0	0	359	8.407791
413	89	32	2	1	20	3	0	0	538	1.401298
414	90	32	2	1	20	0	0	0	535	2.382207
415	91	32	2	1	20	3	0	0	361	3.082857
416	92	32	2	1	20	0	359	0	362	8.407791
417	93	32	2	1	20	0	538	0	539	5.324934
418	94	32	2	1	20	0	0	0	536	3.222986
419	95	32	2	1	20	0	361	0	364	4.203895
420	96	32	2	1	20	3	0	0	366	5.324934
421	97	32	2	1	20	0	0	0	367	5.324934
422	98	32	2	1	20	3	0	0	368	5.324934
423	99	32	2	1	20	4	0	0	675	3.082857
424	100	32	2	1	20	0	366	0	369	5.324934
425	102	32	2	1	20	0	368	0	372	5.324934
426	104	32	2	1	20	3	0	0	370	5.324934
427	107	32	2	1	20	0	675	0	676	4.203895
428	108	32	2	1	20	0	370	0	371	5.324934
429	1	64	0	1	20	4	0	0	578	5.184804
430	4	64	0	1	20	0	0	0	579	4.063766
431	6	64	0	1	20	3	0	0	580	4.624285
432	8	64	0	1	20	3	0	0	581	9.809089
433	9	64	0	1	20	4	578	0	583	2.382207
434	10	64	0	1	20	0	580	0	584	1.401298
435	12	64	0	1	20	3	581	0	585	1.401298
436	14	64	0	1	20	3	0	0	587	4.904545
437	15	64	0	1	10	0	0	0	746	2.270104
438	16	64	0	1	20	0	585	0	588	1.401298
439	17	64	0	1	20	0	583	0	590	2.382207
440	18	64	0	1	20	0	587	0	591	1.401298
441	23	64	0	1	20	1	0	0	593	4.203895
442	24	64	0	1	20	0	593	0	594	5.324934
443	25	64	0	1	20	0	0	0	595	5.044674
444	26	64	0	1	20	0	0	0	596	5.044674
445	27	64	0	1	20	0	0	0	597	5.044674
446	28	64	0	1	20	0	0	0	598	5.044674
447	30	64	0	1	20	3	0	0	549	2.382207
448	34	64	0	1	20	0	549	0	550	2.382207
449	35	64	0	1	20	0	0	0	680	4.904545
450	37	64	1	1	20	0	0	0	599	4.203895
451	41	64	1	1	20	3	0	0	551	3.082857
452	42	64	1	1	20	3	0	0	552	3.082857
453	43	64	1	1	20	3	0	0	744	3.082857
454	45	64	1	1	20	0	551	0	554	1.401298
455	46	64	1	1	20	0	552	0	555	1.401298
456	47	64	1	1	20	0	744	0	745	1.401298
457	51	64	1	1	20	3	0	0	600	4.764415
458	52	64	1	1	20	0	0	0	557	3.082857
459	53	64	1	1	20	0	0	0	558	3.082857
460	54	64	1	1	20	4	0	0	559	3.082857
461	55	64	1	1	20	3	600	0	601	4.764415
462	56	64	1	1	20	0	0	0	560	3.082857
463	59	64	1	1	20	0	601	0	602	5.184804
464	61	64	1	1	20	0	563	0	743	6.025583
465	62	64	1	10	10	2	559	0	563	0
466	63	64	1	1	20	0	0	0	564	3.082857
467	66	64	1	10	10	3	0	0	565	0
468	70	64	1	1	20	0	565	0	567	5.324934
469	73	64	2	1	20	0	0	0	603	4.344025
470	77	64	2	1	20	3	0	0	568	3.082857
471	78	64	2	1	20	3	0	0	569	3.082857
472	81	64	2	1	10	0	568	0	571	1.401298
473	82	64	2	1	20	0	569	0	572	3.082857
474	85	64	2	1	20	0	0	0	573	7.006492
475	86	64	2	1	20	0	0	0	604	2.522337
476	87	64	2	1	20	0	0	0	605	1.541428
477	88	64	2	1	20	3	0	0	606	8.407791
478	90	64	2	1	20	3	0	0	607	3.082857
479	92	64	2	1	20	0	606	0	608	8.407791
480	94	64	2	1	20	0	607	0	609	4.203895
481	96	64	2	1	20	3	0	0	610	5.324934
482	97	64	2	1	20	0	0	0	611	5.324934
483	98	64	2	1	20	3	0	0	612	5.324934
484	99	64	2	1	20	4	0	0	682	3.082857
485	100	64	2	1	20	0	610	0	613	5.324934
486	102	64	2	1	20	0	612	0	616	5.324934
487	104	64	2	1	20	3	0	0	614	5.324934
488	107	64	2	1	20	0	682	0	683	4.203895
489	108	64	2	1	20	0	614	0	615	5.324934
490	1	128	0	1	20	4	0	0	300	5.184804
491	4	128	0	1	20	0	0	0	301	1.681558
492	6	128	0	1	20	3	0	0	302	1.821688
493	8	128	0	1	20	3	0	0	303	9.809089
494	9	128	0	1	20	4	300	0	305	2.382207
495	10	128	0	1	20	0	302	0	306	1.401298
496	12	128	0	1	20	3	303	0	307	1.401298
497	14	128	0	1	20	3	0	0	309	2.242078
498	15	128	0	1	10	0	0	0	746	2.270104
499	16	128	0	1	20	0	307	0	310	1.401298
500	17	128	0	1	20	0	305	0	312	2.382207
501	18	128	0	1	20	0	309	0	313	1.401298
502	23	128	0	1	20	1	0	0	315	4.203895
503	24	128	0	1	20	0	315	0	316	5.324934
504	25	128	0	1	20	0	0	0	317	5.605194
505	26	128	0	1	20	0	0	0	318	5.605194
506	27	128	0	1	20	0	0	0	319	5.605194
507	28	128	0	1	20	0	0	0	320	5.605194
508	30	128	0	1	20	3	0	0	685	2.382207
509	32	128	0	1	20	3	0	0	713	2.802597
510	34	128	0	1	20	0	685	0	686	2.382207
511	35	128	0	1	20	0	0	0	716	4.904545
512	36	128	0	1	20	0	713	0	715	5.465064
513	37	128	1	1	20	0	0	0	325	1.821688
514	41	128	1	1	20	0	0	0	329	2.382207
515	42	128	1	1	20	4	0	0	687	4.203895
516	43	128	1	1	20	4	0	0	688	5.605194
517	48	128	1	1	20	0	0	0	689	3.082857
518	50	128	1	1	20	0	687	0	690	5.605194
519	51	128	1	10	10	0	688	0	691	0
520	52	128	1	1	20	3	0	0	334	1.261169
521	53	128	1	1	20	0	0	0	693	2.522337
522	54	128	1	1	20	4	0	0	692	5.605194
523	55	128	1	1	20	4	0	0	696	5.605194
524	56	128	1	1	20	3	334	0	338	1.261169
525	60	128	1	1	20	0	338	0	341	1.121039
526	61	128	1	1	20	0	0	0	699	7.006492
527	62	128	1	10	10	0	692	0	695	0
528	63	128	1	10	10	0	696	0	698	0
529	64	128	1	1	20	0	0	0	743	6.025583
530	66	128	1	10	10	3	0	0	700	5.324934
531	70	128	1	1	20	0	700	0	701	3.222986
532	73	128	2	1	20	0	0	0	347	1.961818
533	77	128	2	1	20	3	0	0	702	3.082857
534	78	128	2	1	20	3	0	0	703	1.401298
535	80	128	2	1	20	3	0	0	704	1.401298
536	81	128	2	1	20	0	702	0	705	1.401298
537	82	128	2	1	20	0	703	0	706	3.222986
538	84	128	2	1	20	0	704	0	707	2.382207
539	85	128	2	1	20	3	0	0	708	3.222986
540	86	128	2	1	20	0	0	0	357	2.522337
541	87	128	2	1	20	0	0	0	358	1.541428
542	88	128	2	1	20	3	0	0	359	8.407791
543	89	128	2	1	20	3	708	0	709	3.222986
544	90	128	2	1	20	3	0	0	361	3.082857
545	92	128	2	1	20	0	359	0	362	8.407791
546	93	128	2	10	10	0	709	0	710	5.324934
547	94	128	2	1	20	0	361	0	364	4.203895
548	96	128	2	1	20	3	0	0	366	5.324934
549	97	128	2	1	20	0	0	0	367	5.324934
550	98	128	2	1	20	3	0	0	368	5.324934
551	99	128	2	1	20	4	0	0	718	3.082857
552	100	128	2	1	20	0	366	0	369	5.324934
553	102	128	2	1	20	0	368	0	372	5.324934
554	104	128	2	1	20	3	0	0	370	5.324934
555	105	128	2	1	10	0	0	0	711	3.222986
556	106	128	2	1	10	0	0	0	712	3.222986
557	107	128	2	1	20	0	718	0	719	4.203895
558	108	128	2	1	20	0	370	0	371	5.324934
