//rIdx	Flag	Map Number	Start X	Start Y	End X	End Y	Target	Direction	Min Level
54	2	8	248	40	251	44	0	7	0
55	1	8	246	40	247	44	56	0	130
56	2	7	16	225	17	230	0	3	0
57	0	8	189	63	205	72	0	0	60
58	0	9	133	91	141	99	0	0	10
59	0	9	135	162	142	170	0	0	10
60	0	9	62	150	70	158	0	0	10
61	0	9	66	84	74	92	0	0	10
62	1	4	17	250	19	250	63	0	160
63	2	10	14	13	16	13	0	5	160
64	1	10	14	12	16	12	65	0	50
65	2	4	17	249	19	249	0	1	50
66	0	11	12	5	14	10	0	0	0
67	0	12	12	5	14	10	0	0	0
68	0	13	12	5	14	10	0	0	0
69	0	14	12	5	14	10	0	0	0
70	0	15	12	5	14	10	0	0	0
71	0	16	12	5	14	10	0	0	0
72	0	2	23	27	27	24	0	0	15
73	0	2	224	231	227	227	0	0	15
74	0	2	69	181	72	178	0	0	15
75	0	7	225	53	228	50	0	0	60
76	0	7	62	163	68	157	0	0	60
77	0	8	96	143	100	146	0	0	130
80	0	17	12	5	14	10	0	0	0
82	0	18	31	88	36	95	0	0	0
83	0	19	31	88	36	95	0	0	0
84	0	20	31	88	36	95	0	0	0
85	0	21	31	88	36	95	0	0	0
86	0	22	31	88	36	95	0	0	0
87	0	23	31	88	36	95	0	0	0
88	0	24	10	16	17	22	0	0	0
89	0	25	10	16	17	22	0	0	0
90	0	26	10	16	17	22	0	0	0
91	0	27	10	16	17	22	0	0	0
92	0	28	10	16	17	22	0	0	0
93	0	29	10	16	17	22	0	0	0
94	0	30	88	31	102	46	0	0	0
95	0	31	60	10	69	19	0	0	0
96	1	30	93	242	95	243	97	0	0
97	2	30	164	198	187	209	0	0	0
98	1	30	160	203	161	205	99	0	0
99	2	30	90	236	99	239	0	0	0
100	0	30	39	14	142	50	0	0	0
101	0	30	84	180	100	222	0	0	0
102	1	0	239	14	240	15	103	0	10
103	2	30	29	42	30	37	0	0	10
104	0	30	87	209	100	232	0	0	0
105	0	30	72	10	104	199	0	0	0
106	0	30	131	94	138	92	0	0	0
107	1	30	28	40	28	41	108	0	0
108	2	0	235	13	239	13	0	0	0
109	1	31	59	7	63	8	110	0	0
110	2	30	131	94	138	92	0	0	0
111	0	32	133	91	141	99	0	0	10
112	0	32	135	162	142	170	0	0	10
113	2	33	76	9	78	16	0	0	10
114	2	34	231	37	234	45	0	0	10
116	0	36	10	16	17	22	0	0	0
117	1	30	161	37	165	45	114	0	10
118	0	34	229	37	239	46	0	0	10
119	0	33	82	8	87	14	0	0	130
120	1	3	220	30	226	30	113	0	130
121	1	33	74	9	74	13	122	0	10
122	2	3	220	31	226	34	0	0	10
123	1	34	239	40	240	44	124	0	10
124	2	30	155	37	158	43	0	0	10
125	1	8	6	199	6	201	126	0	150
126	2	37	17	219	21	220	0	0	150
127	1	37	17	220	19	222	128	0	130
128	2	8	7	199	7	201	0	0	130
129	1	37	89	89	89	92	130	0	220
130	2	38	70	104	70	107	0	0	220
131	1	38	69	104	69	107	132	0	150
132	2	37	85	89	86	92	0	0	150
133	0	39	196	56	201	57	0	0	220
134	0	39	78	93	82	95	0	0	220
135	0	39	78	93	82	95	0	0	220
136	0	38	137	162	143	163	0	0	220
137	0	38	71	104	72	107	0	0	220
138	0	37	19	217	21	219	0	0	160
139	0	38	71	104	72	107	0	0	230
140	0	33	186	173	190	177	0	0	130
141	0	37	205	36	208	41	0	0	160
142	0	45	98	128	108	137	0	0	0
143	0	46	98	128	108	137	0	0	0
144	0	47	98	128	108	137	0	0	0
145	0	48	98	128	108	137	0	0	0
146	0	49	98	128	108	137	0	0	0
147	0	50	98	128	108	137	0	0	0
148	0	45	141	41	146	45	0	0	0
149	0	46	141	41	146	45	0	0	0
150	0	47	141	41	146	45	0	0	0
151	0	48	141	41	146	45	0	0	0
152	0	49	141	41	146	45	0	0	0
153	0	50	141	41	146	45	0	0	0
154	0	45	194	124	198	127	0	0	0
155	0	46	194	124	198	127	0	0	0
156	0	47	194	124	198	127	0	0	0
157	0	48	194	124	198	127	0	0	0
158	0	49	194	124	198	127	0	0	0
159	0	50	194	124	198	127	0	0	0
256	0	41	29	79	31	82	0	0	0
257	0	42	104	178	107	181	0	0	0
258	0	34	227	41	229	43	0	0	0
259	1	2	161	245	166	246	260	0	15
260	2	51	26	29	27	30	0	0	15
261	1	51	24	29	25	30	262	0	15
262	2	2	161	241	163	242	0	0	15
263	1	7	13	19	14	20	264	0	10
264	2	51	243	149	244	150	0	0	10
265	1	51	247	149	248	150	266	0	60
266	2	7	16	19	17	20	0	0	60
267	0	51	51	224	54	227	0	0	0
268	0	51	99	55	100	57	0	0	10
269	0	51	191	148	193	150	0	0	10
270	0	32	62	150	70	158	0	0	10
271	0	52	12	5	14	10	0	0	0
272	0	53	31	88	36	95	0	0	0
273	0	56	129	99	149	118	0	0	400
274	1	56	139	125	139	126	275	0	400
275	2	56	189	190	191	193	0	0	400
276	1	56	185	187	186	188	273	0	400
277	1	56	149	109	150	109	278	0	400
278	2	56	204	10	206	14	0	0	400
279	1	56	197	12	197	14	273	0	400
280	1	56	139	95	140	95	281	0	400
281	2	56	65	47	67	48	0	0	400
282	1	56	68	52	69	53	273	0	400
283	1	56	124	109	124	110	284	0	400
284	2	56	62	174	63	179	0	0	400
285	1	56	57	176	57	177	273	0	400
286	1	2	52	90	54	91	287	0	270
287	0	57	222	211	225	212	0	0	270
288	1	57	223	215	225	215	289	0	270
289	0	2	52	88	54	89	0	0	270
290	1	57	171	23	171	25	291	0	270
291	0	58	160	24	161	27	0	0	270
292	1	58	167	24	167	25	293	0	270
293	0	57	174	23	175	25	0	0	270
294	0	63	120	129	126	134	0	0	20
295	0	64	90	61	0	0	0	0	30
296	0	64	111	79	0	0	0	0	30
297	0	64	89	131	0	0	0	0	30
298	0	64	110	110	0	0	0	0	30
299	0	64	155	60	0	0	0	0	30
300	0	64	155	81	0	0	0	0	30
301	0	64	140	120	0	0	0	0	30
302	0	64	165	118	0	0	0	0	30
303	0	64	100	70	0	0	0	0	30
304	0	64	100	120	0	0	0	0	30
305	0	64	150	70	0	0	0	0	30
306	0	64	150	120	0	0	0	0	30
307	0	69	231	15	233	17	0	0	0
308	1	69	209	80	211	82	309	0	0
309	0	69	202	24	203	27	0	0	0
310	1	69	153	60	155	62	311	0	0
311	0	69	179	65	181	67	0	0	0
312	0	70	86	63	87	66	0	0	0
313	1	70	10	64	12	66	314	0	0
314	0	70	35	84	38	85	0	0	0
315	1	70	54	161	56	163	316	0	0
316	0	70	121	110	123	112	0	0	0
317	0	71	154	187	155	189	0	0	0
318	1	71	82	194	84	196	319	0	0
319	0	71	222	121	224	123	0	0	0
320	1	71	222	201	224	203	321	0	0
321	0	71	165	206	168	207	0	0	0
322	0	72	93	66	94	69	0	0	0
323	1	72	30	95	32	97	324	0	0
324	0	72	32	162	34	164	0	0	0
325	1	72	68	160	70	162	326	0	0
326	0	72	145	155	147	157	0	0	0
327	1	72	223	165	225	167	328	0	0
328	0	72	241	23	243	25	0	0	0
329	0	65	193	26	200	32	0	0	0
330	0	66	133	68	139	74	0	0	0
331	0	67	106	58	111	62	0	0	0
332	0	68	90	10	97	17	0	0	0
333	0	79	56	74	58	77	0	0	0
334	0	37	66	183	74	191	0	0	160
335	0	80	124	123	127	125	0	0	170
336	1	33	237	167	240	168	337	0	160
337	2	80	118	44	119	46	0	3	160
338	1	80	116	44	117	47	339	0	160
339	2	33	237	166	240	166	0	1	160
340	1	80	186	210	190	212	341	0	160
341	2	81	162	12	164	14	0	5	160
342	1	81	161	8	165	9	343	0	160
343	2	80	188	207	189	208	0	1	160
344	0	81	162	16	163	17	0	5	160
345	0	82	60	66	63	69	0	0	0
346	0	82	69	195	72	198	0	0	0
347	0	82	196	187	199	190	0	0	0
348	0	82	187	61	190	64	0	0	0
349	0	83	60	66	63	69	0	0	0
350	0	83	69	195	72	198	0	0	0
351	0	83	196	187	199	190	0	0	0
352	0	83	187	61	190	64	0	0	0
353	0	84	60	66	63	69	0	0	0
354	0	84	69	195	72	198	0	0	0
355	0	84	196	187	199	190	0	0	0
356	0	84	187	61	190	64	0	0	0
357	0	85	60	66	63	69	0	0	0
358	0	85	69	195	72	198	0	0	0
359	0	85	196	187	199	190	0	0	0
360	0	85	187	61	190	64	0	0	0
361	0	86	60	66	63	69	0	0	0
362	0	86	69	195	72	198	0	0	0
363	0	86	196	187	199	190	0	0	0
364	0	86	187	61	190	64	0	0	0
365	0	87	60	66	63	69	0	0	0
366	0	87	69	195	72	198	0	0	0
367	0	87	196	187	199	190	0	0	0
368	0	87	187	61	190	64	0	0	0
369	0	88	60	66	63	69	0	0	0
370	0	88	69	195	72	198	0	0	0
371	0	88	196	187	199	190	0	0	0
372	0	88	187	61	190	64	0	0	0
373	0	89	60	66	63	69	0	0	0
374	0	89	69	195	72	198	0	0	0
375	0	89	196	187	199	190	0	0	0
376	0	89	187	61	190	64	0	0	0
377	0	90	60	66	63	69	0	0	0
378	0	90	69	195	72	198	0	0	0
379	0	90	196	187	199	190	0	0	0
380	0	90	187	61	190	64	0	0	0
381	0	82	123	120	129	134	0	0	0
382	0	82	123	126	134	132	0	0	0
383	0	82	127	121	133	133	0	0	0
384	0	82	123	121	133	128	0	0	0
385	0	83	123	120	129	134	0	0	0
386	0	83	123	126	134	132	0	0	0
387	0	83	127	121	133	133	0	0	0
388	0	83	123	121	133	128	0	0	0
389	0	84	123	120	129	134	0	0	0
390	0	84	123	126	134	132	0	0	0
391	0	84	127	121	133	133	0	0	0
392	0	84	123	121	133	128	0	0	0
393	0	85	123	120	129	134	0	0	0
394	0	85	123	126	134	132	0	0	0
395	0	85	127	121	133	133	0	0	0
396	0	85	123	121	133	128	0	0	0
397	0	86	123	120	129	134	0	0	0
398	0	86	123	126	134	132	0	0	0
399	0	86	127	121	133	133	0	0	0
400	0	86	123	121	133	128	0	0	0
401	0	87	123	120	129	134	0	0	0
402	0	87	123	126	134	132	0	0	0
403	0	87	127	121	133	133	0	0	0
404	0	87	123	121	133	128	0	0	0
405	0	88	123	120	129	134	0	0	0
406	0	88	123	126	134	132	0	0	0
407	0	88	127	121	133	133	0	0	0
408	0	88	123	121	133	128	0	0	0
409	0	89	123	120	129	134	0	0	0
410	0	89	123	126	134	132	0	0	0
411	0	89	127	121	133	133	0	0	0
412	0	89	123	121	133	128	0	0	0
413	0	90	123	120	129	134	0	0	0
414	0	90	123	126	134	132	0	0	0
415	0	90	127	121	133	133	0	0	0
416	0	90	123	121	133	128	0	0	0
417	0	91	51	190	60	197	0	0	300
418	1	91	26	168	28	172	419	0	0
419	2	91	112	161	114	166	0	0	0
420	1	91	115	168	118	170	421	0	0
421	2	91	33	167	37	170	0	0	0
422	1	91	82	204	86	205	423	0	0
423	2	91	151	198	156	200	0	0	0
424	1	91	147	202	148	206	425	0	0
425	2	91	81	197	83	199	0	0	0
426	0	92	51	190	60	197	0	0	0
427	1	92	26	168	28	172	428	0	0
428	2	92	112	161	114	166	0	0	0
429	1	92	115	168	118	170	430	0	0
430	2	92	33	167	37	170	0	0	0
431	1	92	82	204	86	205	432	0	0
432	2	92	151	198	156	200	0	0	0
433	1	92	147	202	148	206	434	0	0
434	2	92	81	197	83	199	0	0	0
435	1	91	52	161	53	163	436	0	0
436	2	95	19	104	20	105	0	1	0
437	1	95	17	106	18	107	438	0	0
438	2	91	54	163	55	164	0	5	0
439	1	92	52	161	53	163	440	0	0
440	2	96	19	104	20	105	0	1	0
441	1	96	17	106	18	107	442	0	0
442	2	92	54	163	55	164	0	5	0
443	0	97	31	88	36	95	0	0	0
503	0	79	203	56	207	59	0	0	0
504	0	79	188	90	192	91	0	0	0
505	0	79	221	91	227	92	0	0	0
506	0	79	191	20	194	23	0	0	0
507	0	79	170	55	173	59	0	0	0
508	0	79	230	28	236	29	0	0	0
800	1	1	158	45	160	46	294	0	20
