///////////////////////////////////////////////////////////////////////////////////////////////																		
//	[ Text Version ]	0.0.0.8																
//	[ Test Sever ver ]	-																
//	[ Main Sever ver ]	-																
//	[ Athor ]	이준희																
//	[ Data ]	2010-02-17 06:58 PM																
//	[ 내용 ]	신규 리뉴얼 몬스터 스킬 추가																
///////////////////////////////////////////////////////////////////////////////////////////////																		
// ※ 주의사항																		
// I&Dtype과 I&Dvalue의 경우 아이다&크라이울프와 칸투르가 같은 변수를 다르게 사용하고 있음 																		
// (칸투르의 경우는 문스톤 펜던트의 체크를 위하여 변수가 사용됨)																		
//																		
// I&Dtype : 스킬 요소가 가지는 개별 효과(아이다&크라이울프). 아이템 Type(칸투르)																		
// I&Dvalue: I&Dtype의 속성에 따른 상수값(아이다&크라이울프). 아이템 Index(칸투르)																		
///////////////////////////////////////////////////////////////////////////////////////////////																		
																		
//Index	Name	Type	Rate	Time(sec)	I&Dtype	I&Dvalue(dur)	Magic(Delay)	Class	Level									
0																		
//아이다&크라이울프 공방전																		
97	"힐라사-HP감소"	2	100	0	12	100	300	0	0									
//Index	Name	Type	Rate	Time(sec)	I&Dtype	I&Dvalue(dur)	Magic(Delay)	Class	Level									
98	"로드실베스터-일반공격"	20	100	10	-1	-1	500	0	0									
99	"로드실베스터-바람회오리"	20	100	10	-1	-1	1800	0	0									
100	"로드실베스터-바람의저주"	22	100	10	-1	-1	1800	0	0									
101	"로드실베스터-바람의 부름(소환)"	8	100	0	-1	-1	2000	0	0
102	"로드실베스터-스턴"	0	50	3	-1	-1	-1	0	0
103	"로드실베스터-무적"	21	100	10	11	10000	-1	0	0
104	"로드실베스터-밀기"	9	100	10	-1	5	1800	0	0
//Index	Name	Type	Rate	Time(sec)	I&Dtype	I&Dvalue(dur)	Magic(Delay)	Class	Level
105	"각성몬-멀티샷"		24	100	10	-1	0	300	0	0
106	"각성몬-번개공격"	24	100	10	-1	20	300	0	0
107	"각성몬-불화살"		24	100	10	-1	40	300	0	0
108	"각성몬-얼음도트"	23	100	10	-1	10	300	0	0
109	"각성몬-사라짐"		1	100	10	-1	-1	-1	0	0
//Index	Name	Type	Rate	Time(sec)	I&Dtype	I&Dvalue(dur)	Magic(Delay)	Class	Level
110	"코어마그리피-일반공격"	20	100	10	-1	-1	-1	0	0
111	"코어마그리피-회오리"	25	100	10	-1	-1	-1	0	0
112	"코어마그리피-포효"	28	100	10	-1	-1	-1	0	0
113	"코어마그리피-분신"	8	100	0	-1	1	-1	0	0
114	"코어마그리피-광폭화"	26	100	3600	-1	100	-1	0	0
115	"코어마그리피-독"	19	50	10	-1	5	-1	0	0
116	"코어마그리피-밀기"	9	100	10	-1	5	-1	0	0
//Index	Name	Type	Rate	Time(sec)	I&Dtype	I&Dvalue(dur)	Magic(Delay)	Class	Level
117	"페리아군주 - 일반공격"	29	100	10	-1	1	-1	0	0
118	"페리아군주 - 지뢰폭발"	30	100	10	-1	1	6000	0	0
119	"페리아군주 - 휘두르기"	31	100	10	-1	1	-1	0	0
120	"FereaRoarOfLord"	32	100	10	-1	1	3000	0	0
121	"페리아군주 - 휘하의부름"	33	100	10	-1	1	-1	0	0
//Index	Name			Type	Rate	Time	IDtype	IDval	M(Delay)Class	Level
122	"닉스 - 일반공격"	20	100	10	-1	1	-1	0	0
123	"닉스 - 에너지구체"	34	100	30	-1	1	1000	0	0
124	"닉스 - 아이스레인"	35	100	10	-1	1	-1	0	0
125	"닉스 - 얼음술결"	36	100	60	-1	1	-1	0	0
126	"닉스 - 아이스붐"	37	100	10	-1	1	1000	0	0
127	"닉스 - 데블아이스"	38	100	10	-1	1	5000	0	0
128	"Cent Fire Slash"	39	100	0	-1	-1	0	0	0
129	"Cent Twister"		40	100	0	-1	-1	-1	0	0
130	"Cent Nova Beginning"	0	0	0	-1	-1	-1	0	0
131	"Cent Nova"		41	100	0	-1	-1	-1	0	0
132	"Cent Fire Blood"	42	100	0	0	10	1	0	0
133	"Cent Ice Blood"	43	100	0	0	20	2	0	0
end
																		
																		
