//////////////////////////////////////////////////////////////////////////////////////												
// 파일명: 												
//	[ Start  ] 	2013. 09. 25										
//	[ Latest ]											
//	[ Author ]											
//	[ Version ]											
//	[ Text ]											
//	[ Desc ]	기존 아이템백 구조상에서 확장 컬럼 추가										
//////////////////////////////////////////////////////////////////////////////////////												
//												
// 												
// 드랍 젠 계산 방식 = 지정 젠 * MinLevel * MaxLevel 의 수치 만큼 젠 드랍 결정 [MinLevel <= MaxLevel] 항상 만족하도록 기술할 것!												
// 세트 아이템, 소켓 아이템 Slot 구조 추가												
// 												
// SetType: 반드시 ItemSettype 스크립트의 Link와 일치하도록 기술. Link a = 1, link b = 2, link c = 3, link d = 4												
//////////////////////////////////////////////////////////////////////////////////////												
//												
// *** 												
// *** SetType의 경우 국내와 중국 동일, 글로벌 및  기타 해외 국가 반드시 개별 확인 필요!!! (2013.12. 02 기준) 												
// ***												
//												
//////////////////////////////////////////////////////////////////////////////////////												
												
// SetOption:	0 = 랜덤, 1 = +5 옵션을 생성, 2 = +10 옵션을 생성											
												
// --SocketSlotCount												
//드롭가능맵 설정												
0												
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel								
	5	35	0	0	1	1	0	0	0	0	2	//아이스워커의갈기털
	5	37	0	0	1	1	0	0	0	0	2	//아이스워커의갈기털
	0	30	0	0	1	1	0	0	0	0	2	//아이스워커의갈기털
	2	19	0	0	1	1	0	0	0	0	2	//아이스워커의갈기털
	5	32	0	0	1	1	0	0	0	0	2	//아이스워커의갈기털
end												
40000												
	12	141	0	0	0	0	0	0	0	0	0	//혼돈의보석묶음(10)
end												
30000												
	12	31	0	0	0	0	0	0	0	0	0	//영혼의보석묶음(10)
end												
25000												
	12	136	0	0	0	0	0	0	0	0	0	//생명의보석묶음(10)
end												
30000												
	12	30	0	0	0	0	0	0	0	0	0	//축복의보석묶음(10)
end												
40000												
	12	140	0	0	0	0	0	0	0	0	0	//조화의보석묶음(10)
end												
40000												
	12	137	0	0	0	0	0	0	0	0	0	//창조의보석묶음(10)
end
5000												
	12	267	0	0	0	0	0	0	0	0	0	//선악의날개
end												
10000												
	0	29	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	0	36	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	0	37	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	3	12	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	2	20	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	4	25	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	4	26	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	5	35	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	5	37	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	0	30	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	2	19	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
	5	32	0	0	1	1	0	0	0	0	3	//아이스워커의갈기털
end												
10000	//세트아이템											
	7	3	0	0	0	0	0	0	1	0	0	//아누비스의 전설의세트(헬멧)
	8	3	0	0	0	0	0	0	1	0	0	//아누비스의 전설의세트(갑옷)
	10	3	0	0	0	0	0	0	1	0	0	//아누비스의 전설의세트(장갑)
	13	21	0	0	0	0	0	0	1	0	0	//아누비스의 전설의세트(불의반지)
	13	27	0	0	0	0	0	0	1	0	0	//가이온의 아틀란스세트(물의목걸이)
	11	15	0	0	0	0	0	0	1	0	0	//가이온의 아틀란스세트(부츠)
	8	15	0	0	0	0	0	0	1	0	0	//가이온의 아틀란스세트(갑옷)
	9	15	0	0	0	0	0	0	1	0	0	//가이온의 아틀란스세트(바지)
	13	9	0	0	0	0	0	0	2	0	0	//아그니스의 다크소울세트(독의반지)
	8	26	0	0	0	0	0	0	1	0	0	//아그니스의 다크소울세트(갑옷)
	9	26	0	0	0	0	0	0	1	0	0	//아그니스의 다크소울세트(바지)
	7	26	0	0	0	0	0	0	1	0	0	//아그니스의 다크소울세트(헬멧)
	7	40	0	0	0	0	0	0	1	0	0	//크로노의 레드윙세트(헬멧)
	9	40	0	0	0	0	0	0	1	0	0	//크로노의 레드윙세트(바지)
	10	40	0	0	0	0	0	0	1	0	0	//크로노의 레드윙세트(장갑)
	13	24	0	0	0	0	0	0	2	0	0	//크로노의 레드윙세트(마법의반지)
	8	59	0	0	0	0	0	0	1	0	0	//베가의 세크리트 세트(갑옷)
	9	59	0	0	0	0	0	0	1	0	0	//베가의 세크리트 세트(바지)
	0	32	0	0	0	0	0	0	1	0	0	//베가의 세크리트 세트(글러브)
	7	59	0	0	0	0	0	0	1	0	0	//베가의 세크리트 세트(투구)
	7	14	0	0	0	0	0	0	2	0	0	//아루안의 수호세트(헬멧)
	8	14	0	0	0	0	0	0	2	0	0	//아루안의 수호세트(갑옷)
	9	14	0	0	0	0	0	0	2	0	0	//아루안의 수호세트(바지)
	11	14	0	0	0	0	0	0	2	0	0	//아루안의 수호세트(부츠)
	7	9	0	0	0	0	0	0	1	0	0	//레이브의 철판 세트(헬멧)
	9	9	0	0	0	0	0	0	1	0	0	//레이브의 철판 세트(바지)
	8	9	0	0	0	0	0	0	2	0	0	//레이브의 철판 세트(갑옷)
end												
10000	//세트아이템											
	7	3	0	0	0	0	0	0	2	0	0	//이시스의 전설의세트(헬멧)
	8	3	0	0	0	0	0	0	2	0	0	//이시스의 전설의세트(갑옷)
	9	3	0	0	0	0	0	0	2	0	0	//이시스의 전설의세트(바지)
	11	3	0	0	0	0	0	0	2	0	0	//이시스의 전설의세트(부츠)
	13	21	0	0	0	0	0	0	2	0	0	//뮤렌의 아틀란스세트(불의 반지)
	10	15	0	0	0	0	0	0	2	0	0	//뮤렌의 아틀란스세트(장갑)
	8	15	0	0	0	0	0	0	2	0	0	//뮤렌의 아틀란스세트(갑옷)
	9	15	0	0	0	0	0	0	2	0	0	//뮤렌의 아틀란스세트(바지)
	13	25	0	0	0	0	0	0	2	0	0	//브로이의 다크소울세트(얼음목걸이)
	10	26	0	0	0	0	0	0	2	0	0	//브로이의 다크소울세트(장갑)
	9	26	0	0	0	0	0	0	2	0	0	//브로이의 다크소울세트(바지)
	11	26	0	0	0	0	0	0	2	0	0	//브로이의 다크소울세트(부츠)
	7	40	0	0	0	0	0	0	2	0	0	//세메덴의 레드윙세트(헬멧)
	8	40	0	0	0	0	0	0	2	0	0	//세메덴의 레드윙세트(갑옷)
	10	40	0	0	0	0	0	0	2	0	0	//세메덴의 레드윙세트(장갑)
	11	40	0	0	0	0	0	0	2	0	0	//세메덴의 레드윙세트(부츠)
	8	59	0	0	0	0	0	0	2	0	0	//차메르의 세크리트 세트(갑옷)
	9	59	0	0	0	0	0	0	2	0	0	//차메르의 세크리트 세트(바지)
	0	32	0	0	0	0	0	0	2	0	0	//차메르의 세크리트 세트(글러브)
	11	59	0	0	0	0	0	0	1	0	0	//차메르의 세크리트 세트(부츠)
end												
70000	//엑설런트 목걸이											
	13	12	0	0	0	0	2	2	0	0	0	//번개의목걸이
	13	13	0	0	0	0	2	2	0	0	0	//불의목걸이
	13	25	0	0	0	0	2	2	0	0	0	//얼믐의목걸이
	13	26	0	0	0	0	2	2	0	0	0	//바람의목걸이
	13	27	0	0	0	0	2	2	0	0	0	//물의목걸이
end												
10000	//펜타그램											
	12	208	0	0	0	0	0	0	0	0	0	//쿤둔의광기칼날
	12	209	0	0	0	0	0	0	0	0	0	//쿤둔의 마법 주문서
	12	210	0	0	0	0	0	0	0	0	0	//제국수호군의 보루
	12	211	0	0	0	0	0	0	0	0	0	//이카루스의 고서
	12	449	0	0	0	0	0	0	0	0	0	//물의목걸이
	12	457	0	0	0	0	0	0	0	0	0	//물의목걸이
end												
400000	//380 소켓											
	6	22	0	0	0	0	0	0	0	0	0	//레이지윈드방패
	6	23	0	0	0	0	0	0	0	0	0	//라이트로드방패
	6	24	0	0	0	0	0	0	0	0	0	//다크데빌방패
	6	25	0	0	0	0	0	0	0	0	0	//매직나이트방패
	6	26	0	0	0	0	0	0	0	0	0	//엠비션투방패
	7	53	0	0	0	0	0	0	0	0	0	//서큐버스투구
	7	54	0	0	0	0	0	0	0	0	0	//레이지윈드투구
	7	55	0	0	0	0	0	0	0	0	0	//다크데빌투구
	7	56	0	0	0	0	0	0	0	0	0	//스티키투구
	7	58	0	0	0	0	0	0	0	0	0	//엠비션투구
	7	74	0	0	0	0	0	0	0	0	0	//스톰윙투구
	7	75	0	0	0	0	0	0	0	0	0	//라이트로드투구
	8	53	0	0	0	0	0	0	0	0	0	//서큐버스갑옷
	8	54	0	0	0	0	0	0	0	0	0	//레이지윈드갑옷
	8	55	0	0	0	0	0	0	0	0	0	//다크데빌갑옷
	8	56	0	0	0	0	0	0	0	0	0	//스티키갑옷
	8	57	0	0	0	0	0	0	0	0	0	//헬나이트갑옷
	8	58	0	0	0	0	0	0	0	0	0	//엠비션갑옷
	8	74	0	0	0	0	0	0	0	0	0	//스톰윙갑옷
	8	75	0	0	0	0	0	0	0	0	0	//라이트로드갑옷
	8	76	0	0	0	0	0	0	0	0	0	//매직나이트갑옷
	9	53	0	0	0	0	0	0	0	0	0	//서큐버스바지
	9	54	0	0	0	0	0	0	0	0	0	//레이지윈드바지
	9	55	0	0	0	0	0	0	0	0	0	//다크데빌바지
	9	56	0	0	0	0	0	0	0	0	0	//스티키바지
	9	57	0	0	0	0	0	0	0	0	0	//헬나이트바지
	9	58	0	0	0	0	0	0	0	0	0	//엠비션바지
	9	74	0	0	0	0	0	0	0	0	0	//스톰윙바지
	9	75	0	0	0	0	0	0	0	0	0	//라이트로드바지
	9	76	0	0	0	0	0	0	0	0	0	//매직나이트바지
	10	53	0	0	0	0	0	0	0	0	0	//서큐버스장갑
	10	54	0	0	0	0	0	0	0	0	0	//레이지윈드장갑
	10	55	0	0	0	0	0	0	0	0	0	//다크데빌장갑
	10	56	0	0	0	0	0	0	0	0	0	//스티키장갑
	10	57	0	0	0	0	0	0	0	0	0	//헬나이트장갑
	10	58	0	0	0	0	0	0	0	0	0	//엠비션장갑
	10	74	0	0	0	0	0	0	0	0	0	//스톰윙장갑
	10	75	0	0	0	0	0	0	0	0	0	//라이트로드장갑
	10	76	0	0	0	0	0	0	0	0	0	//매직나이트장갑
	11	53	0	0	0	0	0	0	0	0	0	//서큐버스부츠
	11	54	0	0	0	0	0	0	0	0	0	//레이지윈드부츠
	11	55	0	0	0	0	0	0	0	0	0	//다크데빌부츠
	11	56	0	0	0	0	0	0	0	0	0	//스티키부츠
	11	57	0	0	0	0	0	0	0	0	0	//헬나이트부츠
	11	58	0	0	0	0	0	0	0	0	0	//엠비션부츠
	11	74	0	0	0	0	0	0	0	0	0	//스톰윙부츠
	11	75	0	0	0	0	0	0	0	0	0	//라이트로드부츠
	11	76	0	0	0	0	0	0	0	0	0	//매직나이트부츠
end												
end
